Guide_pair,Animal,Tentacle,KO,Indel,R-squared
1,1,Dark,67,67,0.94
1,1,Light,100,100,0.96
1,2,Dark,1,1,0.99
1,2,Light,91,100,0.74
1,3,Dark,0,0,1
1,3,Light,77,82,0.76
1,4,Dark,49,50,0.91
1,4,Light,97,100,0.88
1,5,Dark,14,51,0.92
1,5,Light,45,100,0.93
1,6,Dark,48,50,0.81
1,6,Light,95,98,0.99
1,7,Dark,39,39,0.98
1,7,Light,97,97,1
1,8,Dark,48,48,0.97
1,8,Light,100,100,0.98
2,9,Dark,0,0,1
2,9,Light,67,99,0.48
2,10,Dark,0,0,1
2,10,Light,31,32,0.91
2,11,Dark,3,8,0.96
2,11,Light,37,80,0.48
2,12,Dark,35,35,0.96
2,12,Light,65,65,0.97
