"","Treatment","Animal","Date","Dish","Mean_chl","Mean","Simplified_score","Modified1","Mean_Area","Score","mut_category"
"1","Cas9",1,"226",1,15859.6941,12568.511,"Brown",0.01795332,55.123,"Cas9","≤10%"
"2","Cas9",1,"226",2,17486.4176,11320.497,"Brown",0.01150001,54.2484,"Cas9","≤10%"
"3","Cas9",2,"226",1,15377.7543,10514.254,"Brown",0.01150814,83.3281,"Cas9","≤10%"
"4","Cas9",3,"226",1,14643.5111,11308.262,"Brown",0.0146002,70.2733,"Cas9","≤10%"
"5","Cas9",4,"226",1,13916.1199,12685.078,"Brown",0.01492927,75.5382,"Cas9","≤10%"
"6","SLC26A11 P1",1,"226",2,2890.6297,795.86,"Pale",99.87376678,129.6051,"Pale",">90%"
"7","SLC26A11 P1",1,"226",3,18706.1894,12839.393,"Brown",99.99879323,68.9203,"Brown",">90%"
"8","SLC26A11 P1",1,"226",4,15714.7556,14168.544,"Brown",0.1532056,74.7294,"Brown","≤10%"
"9","SLC26A11 P1",2,"226",1,23993.9726,15709.544,"Brown",0.05453897,71.6433,"Brown","≤10%"
"10","SLC26A11 P1",2,"226",2,6946.6766,1880.911,"Pale",99.93267742,98.4788,"Pale",">90%"
"11","SLC26A11 P1",2,"226",4,15203.0755,10546.321,"Brown",85.62051021,75.6373,"Brown","10-90%"
"12","SLC26A11 P1",3,"226",1,21679.6984,15442.749,"Brown",15.80427745,66.7251,"Brown","10-90%"
"13","SLC26A11 P1",3,"226",2,6326.4662,1625.838,"Pale",99.90237254,135.5467,"Pale",">90%"
"14","SLC26A11 P1",3,"226",3,11429.3214,12754.666,"Brown",95.52567283,72.3033,"Brown",">90%"
"15","SLC26A11 P1",3,"226",4,12455.5362,14119.441,"Brown",2.21092521,66.1474,"Brown","≤10%"
"16","SLC26A11 P1",4,"226",3,5548.1235,1440.503,"Pale",0.07886435,171.3601,"Pale","≤10%"
"17","SLC26A11 P1",4,"226",4,14781.8482,7833.897,"Brown",55.15130655,60.9487,"Brown","10-90%"
"18","SLC26A11 P1",5,"226",1,17874.6489,11430.213,"Brown",0.05809524,74.6635,"Brown","≤10%"
"19","SLC26A11 P1",5,"226",2,7803.9901,1252.264,"Pale",99.99154119,111.8635,"Pale",">90%"
"20","SLC26A11 P1",5,"226",3,15843.5299,11870.415,"Brown",99.87605924,73.0625,"Brown",">90%"
"21","SLC26A11 P1",5,"226",4,12365.3426,10989.603,"Brown",3.75601447,75.5711,"Brown","≤10%"
"22","SLC26A11 P1",6,"226",3,19511.5685,14337.102,"Brown",39.66724628,57.2025,"Brown","10-90%"
"23","SLC26A11 P1",6,"226",4,20331.3731,19008.703,"Brown",10.1753809,65.6524,"Brown","10-90%"
"24","SLC26A11 P1",7,"226",2,4952.925,1407.588,"Pale",99.96981376,117.6233,"Pale",">90%"
"25","SLC26A11 P1",7,"226",3,16356.2947,16877.656,"Brown",5.19553615,61.2788,"Brown","≤10%"
"26","SLC26A11 P1",8,"226",3,16169.7365,12653.933,"Brown",0.95236324,59.5955,"Brown","≤10%"
"27","SLC26A11 P1",9,"226",2,4211.1666,1094.744,"Pale",99.9949743,149.4761,"Pale",">90%"
"28","SLC26A11 P1",9,"226",3,5753.6855,1222.043,"Pale",0.06965923,160.253,"Pale","≤10%"
"29","SLC26A11 P1",10,"226",3,4935.2477,474.04,"Pale",99.94189879,188.9201,"Pale",">90%"
"30","SLC26A11 P1",11,"226",2,8784.3829,1742.415,"Pale",99.99485186,99.6506,"Pale",">90%"
"31","SLC26A11 P1",11,"226",3,4785.5632,758.214,"Pale",99.62502355,155.8299,"Pale",">90%"
"32","SLC26A11 P1",12,"226",3,6043.0849,1210.19,"Pale",99.30488684,98.3963,"Pale",">90%"
"33","WT",1,"226",1,13517.4845,13317.72,"Brown",0.02275033,71.9899,"WT","≤10%"
"34","WT",1,"226",3,17103.5708,7136.282,"Brown",0.01510232,83.3943,"WT","≤10%"
"35","WT",2,"226",1,15662.2541,9013.97,"Brown",0.0139611,58.9353,"WT","≤10%"
"36","WT",2,"226",2,11451.3896,13098.856,"Brown",0.01419301,51.0465,"WT","≤10%"
"37","WT",2,"226",3,15762.3458,14943.533,"Brown",0.01639788,61.2457,"WT","≤10%"
"38","WT",3,"226",2,18900.3643,5799.845,"Pale",0.01408599,69.6465,"WT","≤10%"
"39","WT",6,"226",3,14074.6026,13258.766,"Brown",0.01241266,62.8798,"WT","≤10%"
"40","SLC26A11 P1",10,"226",2,NA,1755.943,"Pale",99.99956938,NA,"Pale",">90%"
"41","WT",16,"226",2,NA,9003.443,"Brown",0.01662046,NA,"WT","≤10%"
