Date,Treatment,Dish,Animal,Area,Mean
226,Cas9,1,1,69.481,14993.252
226,Cas9,1,1,57.599,17026.341
226,Cas9,1,1,63.375,16812.362
226,Cas9,1,1,57.599,17975.948
226,Cas9,1,1,69.481,16331.333
226,Cas9,1,1,48.356,17052.133
226,Cas9,1,1,48.356,13286.782
226,Cas9,1,1,57.599,18408.639
226,Cas9,1,1,37.134,12298.151
226,Cas9,1,1,42.25,14412
226,Cas9,1,2,118.168,15232.045
226,Cas9,1,2,109.751,12728.696
226,Cas9,1,2,52.152,12134.731
226,Cas9,1,2,57.599,15462.146
226,Cas9,1,2,80.704,16706.591
226,Cas9,1,2,89.121,16769.946
226,Cas9,1,2,80.704,15775.19
226,Cas9,1,2,69.481,14967.259
226,Cas9,1,2,101.664,14515.205
226,Cas9,1,2,73.937,19485.734
226,Cas9,1,3,73.937,19042.533
226,Cas9,1,3,69.481,17627.888
226,Cas9,1,3,52.152,13127.953
226,Cas9,1,3,73.937,14244.833
226,Cas9,1,3,80.704,15632.358
226,Cas9,1,3,69.481,12605.401
226,Cas9,1,3,69.481,14489.43
226,Cas9,1,3,80.704,13270.266
226,Cas9,1,3,63.375,11843.432
226,Cas9,1,3,69.481,14551.017
226,Cas9,1,4,80.704,12638.969
226,Cas9,1,4,63.375,12580.922
226,Cas9,1,4,52.152,10092.712
226,Cas9,1,4,80.704,15206.403
226,Cas9,1,4,109.751,11803.668
226,Cas9,1,4,69.481,12799.591
226,Cas9,1,4,73.937,12708.431
226,Cas9,1,4,63.375,17012.112
226,Cas9,1,4,52.152,16758.589
226,Cas9,1,4,109.751,17559.802
226,SLC26A11 P1,2,1,134.012,4586.853
226,SLC26A11 P1,2,1,123.614,1420.148
226,SLC26A11 P1,2,1,105.625,1733.466
226,SLC26A11 P1,2,1,89.121,1418.802
226,SLC26A11 P1,2,1,109.751,1882.513
226,SLC26A11 P1,2,1,179.067,4136.42
226,SLC26A11 P1,2,1,123.614,3199.603
226,SLC26A11 P1,2,1,179.067,5665.4
226,SLC26A11 P1,2,1,118.168,2216.809
226,SLC26A11 P1,2,1,134.012,2646.283
226,SLC26A11 P1,2,2,101.664,6487.149
226,SLC26A11 P1,2,2,134.012,6368.294
226,SLC26A11 P1,2,2,69.481,8453.482
226,SLC26A11 P1,2,2,109.751,6856.301
226,SLC26A11 P1,2,2,89.121,5592.635
226,SLC26A11 P1,2,2,89.121,8502.45
226,SLC26A11 P1,2,2,89.121,8359.48
226,SLC26A11 P1,2,2,95.228,7452.612
226,SLC26A11 P1,2,2,89.121,9369.507
226,SLC26A11 P1,2,2,118.168,2024.856
226,SLC26A11 P1,2,3,160.583,8787.073
226,SLC26A11 P1,2,3,142.099,4623.002
226,SLC26A11 P1,2,3,118.168,5882.969
226,SLC26A11 P1,2,3,101.664,6598.265
226,SLC26A11 P1,2,3,89.121,5690.761
226,SLC26A11 P1,2,3,142.099,7523.742
226,SLC26A11 P1,2,3,185.504,6575.448
226,SLC26A11 P1,2,3,150.516,6157.274
226,SLC26A11 P1,2,3,123.614,4656.586
226,SLC26A11 P1,2,3,142.099,6769.542
226,SLC26A11 P1,2,5,101.664,10148.385
226,SLC26A11 P1,2,5,109.751,8236.402
226,SLC26A11 P1,2,5,134.012,7394.241
226,SLC26A11 P1,2,5,109.751,6101.866
226,SLC26A11 P1,2,5,142.099,7370.728
226,SLC26A11 P1,2,5,80.704,7307.317
226,SLC26A11 P1,2,5,89.121,7348.515
226,SLC26A11 P1,2,5,118.168,7894.32
226,SLC26A11 P1,2,5,123.614,10301.858
226,SLC26A11 P1,2,5,109.751,5936.269
226,SLC26A11 P1,2,6,63.375,10919.362
226,SLC26A11 P1,2,6,73.937,10869.922
226,SLC26A11 P1,2,6,69.481,13580.152
226,SLC26A11 P1,2,6,57.599,13085.16
226,SLC26A11 P1,2,6,57.599,10598.117
226,SLC26A11 P1,2,6,63.375,13598.378
226,SLC26A11 P1,2,6,57.599,12868.347
226,SLC26A11 P1,2,6,57.599,11483.16
226,SLC26A11 P1,2,6,57.599,10676.556
226,SLC26A11 P1,2,6,69.481,11808.302
227,SLC26A11 P2,1,1,95.228,12426.915
227,SLC26A11 P2,1,1,95.228,11618.246
227,SLC26A11 P2,1,1,63.375,8761.284
227,SLC26A11 P2,1,1,95.228,12337.887
227,SLC26A11 P2,1,1,160.583,8872.613
227,SLC26A11 P2,1,1,160.583,11551.073
227,SLC26A11 P2,1,1,134.012,11813.615
227,SLC26A11 P2,1,1,95.228,10668.213
227,SLC26A11 P2,1,1,109.751,9016.782
227,SLC26A11 P2,1,1,89.121,11200.774
227,SLC26A11 P2,1,3,109.751,14272.502
227,SLC26A11 P2,1,3,89.121,8819.765
227,SLC26A11 P2,1,3,118.168,9105.662
227,SLC26A11 P2,1,3,123.614,11917.375
227,SLC26A11 P2,1,3,95.228,12531.851
227,SLC26A11 P2,1,3,95.228,13503.123
227,SLC26A11 P2,1,3,73.937,12650.359
227,SLC26A11 P2,1,3,89.121,9936.957
227,SLC26A11 P2,1,3,69.481,11498.796
227,SLC26A11 P2,1,3,52.152,13768.877
227,SLC26A11 P2,1,4,80.704,15794.536
227,SLC26A11 P2,1,4,63.375,17456.255
227,SLC26A11 P2,1,4,63.375,17326.406
227,SLC26A11 P2,1,4,80.704,12571.593
227,SLC26A11 P2,1,4,73.937,12735.815
227,SLC26A11 P2,1,4,69.481,12539.988
227,SLC26A11 P2,1,4,63.375,11587.435
227,SLC26A11 P2,1,4,69.481,11705.599
227,SLC26A11 P2,1,4,69.481,15335.857
227,SLC26A11 P2,1,4,69.481,16379.19
227,SLC26A11 P2,1,5,101.664,9127.604
227,SLC26A11 P2,1,5,118.168,9272.439
227,SLC26A11 P2,1,5,95.228,7327.979
227,SLC26A11 P2,1,5,73.937,7019.114
227,SLC26A11 P2,1,5,95.228,11705.74
227,SLC26A11 P2,1,5,57.599,8706.252
227,SLC26A11 P2,1,5,95.228,5535.34
227,SLC26A11 P2,1,5,118.168,6430.796
227,SLC26A11 P2,1,5,89.121,14284.896
227,SLC26A11 P2,1,5,101.664,13852.476
227,SLC26A11 P2,1,2,179.067,10182.24
227,SLC26A11 P2,1,2,109.751,8333.788
227,SLC26A11 P2,1,2,123.614,5312.251
227,SLC26A11 P2,1,2,123.614,3633.924
227,SLC26A11 P2,1,2,69.481,5412.202
227,SLC26A11 P2,1,2,123.614,3062.686
227,SLC26A11 P2,1,2,150.516,5001.741
227,SLC26A11 P2,1,2,118.168,5566.387
227,SLC26A11 P2,1,2,118.168,5331.458
227,SLC26A11 P2,1,2,123.614,5555.985
226,Cas9,2,1,42.25,15322.992
226,Cas9,2,1,57.599,19386.507
226,Cas9,2,1,48.356,15882.386
226,Cas9,2,1,57.599,21347.719
226,Cas9,2,1,57.599,19733.745
226,Cas9,2,1,69.481,20163.675
226,Cas9,2,1,52.152,13946.297
226,Cas9,2,1,42.25,15788.305
226,Cas9,2,1,57.599,15380.395
226,Cas9,2,1,57.599,17912.155
226,WT,1,1,101.664,13332.11
226,WT,1,1,73.937,14291.538
226,WT,1,1,69.481,12130.458
226,WT,1,1,73.937,12390.404
226,WT,1,1,57.599,13563.258
226,WT,1,1,69.481,13657.062
226,WT,1,1,69.481,15712.416
226,WT,1,1,89.121,12935.78
226,WT,1,1,57.599,12305.828
226,WT,1,1,57.599,14855.991
226,WT,1,2,63.375,16049.513
226,WT,1,2,52.152,15665.484
226,WT,1,2,37.134,15374.564
226,WT,1,2,37.134,12361.187
226,WT,1,2,57.599,16863.192
226,WT,1,2,48.356,18269.768
226,WT,1,2,80.704,18701.006
226,WT,1,2,69.481,14177.017
226,WT,1,2,73.937,13112.679
226,WT,1,2,69.481,16048.131
226,WT,2,2,42.25,13068.156
226,WT,2,2,48.356,11418.983
226,WT,2,2,52.152,9805.358
226,WT,2,2,52.152,7536.639
226,WT,2,2,57.599,8747.146
226,WT,2,2,57.599,11350.387
226,WT,2,2,52.152,12465.003
226,WT,2,2,48.356,12664.512
226,WT,2,2,57.599,14288.837
226,WT,2,2,42.25,13168.875
226,WT,2,3,63.375,20845.299
226,WT,2,3,80.704,22258.329
226,WT,2,3,65.686,15730.322
226,WT,2,3,57.599,16449.238
226,WT,2,3,73.937,16188.199
226,WT,2,3,95.228,14188.371
226,WT,2,3,63.375,19441.18
226,WT,2,3,69.481,18995.919
226,WT,2,3,69.481,21729.743
226,WT,2,3,57.599,23177.043
226,WT,2,16,57.599,14893.241
226,WT,2,16,69.481,14545.765
226,WT,2,16,48.356,13722.519
226,WT,2,16,69.481,13386.677
226,WT,2,16,57.599,13280.41
226,WT,2,16,69.481,16275.596
226,WT,2,16,63.375,17242.609
226,WT,2,16,57.599,19263.401
226,WT,2,16,69.481,15608.705
226,WT,2,16,69.481,13948.456
226,WT,3,1,89.121,18412.309
226,WT,3,1,57.599,16766.822
226,WT,3,1,57.599,15678.713
226,WT,3,1,101.664,18408.206
226,WT,3,1,80.704,17541.556
226,WT,3,1,57.599,17422.398
226,WT,3,1,80.704,19241.665
226,WT,3,1,118.168,13190.24
226,WT,3,1,101.664,15229.93
226,WT,3,1,89.121,19143.869
226,WT,3,2,69.481,15333.171
226,WT,3,2,37.134,13487.413
226,WT,3,2,48.356,13552.604
226,WT,3,2,73.937,17708.462
226,WT,3,2,48.356,17272.375
226,WT,3,2,80.704,18279.188
226,WT,3,2,69.481,17888.8
226,WT,3,2,69.481,17861.52
226,WT,3,2,52.152,13359.282
226,WT,3,2,63.375,12880.643
226,WT,3,6,95.228,16205.806
226,WT,3,6,48.356,13123.283
226,WT,3,6,52.152,11801.028
226,WT,3,6,57.599,12447.883
226,WT,3,6,37.134,13861.04
226,WT,3,6,57.599,14817.424
