Treatment,Animal,Dish,Score 14dpi,Deformed,Fert,Area,Mean,Intden,Median,%Area,Rawinteden,MinThr,MaxThr,PCR well,,
Cas9,1,1,Brown,Normal,226,287424.57,12568.511,3612498920,12465,100,21888753485,0,65535,,,
Cas9,2,1,Brown,Normal,226,223840.803,10514.254,2353518959,8197,100,14260376948,0,65535,,,
Cas9,3,1,Brown,Normal,226,393952.321,11308.262,4454916066,10715,100,26993104145,0,65535,,,
Cas9,4,1,Brown,Normal,226,286479.226,12685.078,3634011338,10614,100,22019100930,0,65535,,,
Cas9,5,1,White,Not developed,226,319514.101,3547.545,1133490496,2227,100,6868014248,0,65535,,,
Cas9,1,2,Brown,Normal,226,231697.157,11320.497,2622926918,11101,100,15892766195,0,65535,,,
Cas9,1,3,White,Smack,226,178149.414,1214.389,216342697.1,538,100,1310857683,0,65535,,,
Cas9,2,3,Brown,Small,226,91545.176,10541.472,965020869,9562,100,5847227744,0,65535,,,
Cas9,1,1,Brown,Normal,227,337569.372,12844.443,4335890466,13627,100,26271907522,0,65535,,,
Cas9,2,1,Partial,Normal,227,194835.521,5542.907,1079955234,5011,100,6543634868,0,65535,,,
Cas9,3,1,Brown,Normal,227,243000.516,18688.619,4541344013,20736,100,27516785966,0,65535,,,
Cas9,4,1,Brown,Normal,227,300614.49,14491.465,4356344304,13306,100,26395840850,0,65535,,,
Cas9,1,2,Brown,Normal,227,245533.7,13013.412,3195231203,11043,100,19360456479,0,65535,,,
Cas9,2,2,Brown,Normal,227,283264.596,16111.632,4563855050,16375,100,27653184218,0,65535,,,
Cas9,3,2,Brown,Normal,227,299570.783,11417.75,3420424225,8938,100,20724939808,0,65535,,,
Cas9,4,2,Partial,Not developed,227,219593.193,2021.995,444016310,1046,100,2690371338,0,65535,,,
Cas9,5,2,Brown,Normal,227,197529.454,11624.877,2296255521,10637,100,13913407905,0,65535,,,
Cas9,1,3,Brown,Normal,227,230464.15,14139.906,3258741529,12760,100,19745276488,0,65535,,,
Cas9,2,3,Brown,Normal,227,275107.706,11658.638,3207381274,11378,100,19434075856,0,65535,,,
Cas9,3,3,Brown,Normal,227,186815.449,13947.886,2605680627,14340,100,15788267946,0,65535,,,
Cas9,4,3,Brown,Normal,227,217835.858,9452.695,2059135946,7764,100,12476659538,0,65535,,,
Cas9,5,3,Brown,Normal,227,163388.652,10854.134,1773442348,10874,100,10745592795,0,65535,,,
Cas9,6,3,Brown,Normal,227,203129.889,12420.649,2523005084,12632,100,15287322585,0,65535,,,
Cas9,7,3,Brown,Normal,227,311075.49,11257.982,3502082193,10699,100,21219719509,0,65535,,,
Cas9,8,3,Brown,Normal,227,267511.454,15300.493,4093057120,15624,100,24800538430,0,65535,,,
Cas9,9,3,Brown,Normal,227,304408.408,12854.608,3913050637,11655,100,23709848128,0,65535,,,
Cas9,10,3,Brown,Normal,227,296169.494,14684.109,4348985060,15296,100,26351249925,0,65535,,,
Cas9,11,3,Brown,Normal,227,289383.913,11400.157,3299021913,11261,100,19989342280,0,65535,,,
Cas9,1,4,Brown,Normal,227,296326.776,13498.6,3999996728,13797,100,24236669477,0,65535,,,
Cas9,2,4,Brown,Normal,227,227323.787,13593.549,3090136959,11177,100,18723672345,0,65535,,,
Cas9,3,4,Brown,Normal,227,148562.865,12708.132,1887956431,12567,100,11439453361,0,65535,,,
Cas9,4,4,Partial,Normal,227,210962.477,7361.83,1553069860,6026,100,9410317914,0,65535,,,
Cas9,5,4,Brown,Normal,227,227982.293,14381.675,3278767201,13519,100,19866615491,0,65535,,,
Cas9,6,4,Brown,Normal,227,201624.072,14432.282,2909895441,14514,100,17631557926,0,65535,,,
Cas9,7,4,Partial,Misshapen,227,206305.9,7492.986,1545847165,5237,100,9366554362,0,65535,,,
Cas9,8,4,Brown,Normal,227,225256.178,12765.715,2875556263,12814,100,17423490930,0,65535,,,
Cas9,9,4,Partial,Normal,227,159939.006,7998.406,1279257157,7187,100,7751239562,0,65535,,,
Cas9,10,4,Brown,Normal,227,239095.692,15323.462,3663773728,16695,100,22199436385,0,65535,,,
Cas9,11,4,Brown,Misshapen,227,199869.212,8308.379,1660589240,6969,100,10061796368,0,65535,,,
Cas9,12,4,Brown,Misshapen,227,221776.33,7261.525,1610434275,4683,100,9757898793,0,65535,,,
SLC26A11 P1,1,1,Brown,Normal,226,256173.932,12624.061,3233955321,9272,100,19595092584,0,65535,A1,a33,
SLC26A11 P1,2,1,Brown,Normal,226,279388.159,15709.544,4389060464,13388,100,26594073704,0,65535,A2,a34,0.09
SLC26A11 P1,3,1,Brown,Normal,226,341090.976,15442.749,5267382399,14329,100,31915977664,0,65535,A3,a35,15.03
SLC26A11 P1,4,1,White,Misshapen,226,182551.666,2807.157,512451178,2234,100,3105029996,0,65535,A4,a36,
SLC26A11 P1,5,1,Brown,Normal,226,392681.19,11430.213,4488429527,11214,100,27196167979,0,65535,A5,a37,46.88
SLC26A11 P1,1,2,White,Normal,226,207935.661,795.86,165487645.5,681,100,1002718162,0,65535,A6,a38,99.92
SLC26A11 P1,2,2,White,Normal,226,188927.877,1880.911,355356576.3,1376,100,2153165667,0,65535,A7,a39,99.9
SLC26A11 P1,3,2,White,Normal,226,245293.898,1625.838,398808222.8,1065,100,2416447747,0,65535,A8,a40,99.93
SLC26A11 P1,4,2,White,Small,226,89019.584,763.465,67963370.21,536,100,411801772,0,65535,A9,a41,0.07
