AIPGENE,GENE
AIPGENE20982,Sym32
AIPGENE5165,RAB7A
AIPGENE10564,RAB5B
AIPGENE13725,RAB11A
AIPGENE18105,RHBG
AIPGENE6170,SLC2A8
AIPGENE7920,AQP3
AIPGENE26709,ATP6V0A1
AIPGENE26700,ATP6V0A1
AIPGENE28013,ATP6V0D1
AIPGENE10504,ATP6V1A
AIPGENE19317,ATP6V1B
AIPGENE2454,ATP6V1D
AIPGENE14140,ATP6V1E
AIPGENE22473,NPC2
AIPGENE22527,NPC2
AIPGENE5532,NPC1
AIPGENE7145,ATP6V1C
AIPGENE11940,ATP6V1G
AIPGENE27242,LAMP1A
AIPGENE12099,MTOR
AIPGENE17420,AMT1
AIPGENE2706,SLC2A8
AIPGENE12082,SLC2A1
AIPGENE18406,TRET1
AIPGENE16161,ATP6V0B
AIPGENE15442,ATP6V0C
AIPGENE840,ATP6V1H 
AIPGENE22539,NPC2
AIPGENE5531,NPC1
AIPGENE18106,RHBG
AIPGENE7917,AQP3
