Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Control_6 Spectral Count	Symbiosome_1 Spectral Count	Symbiosome_2 Spectral Count	Symbiosome_3 Spectral Count	Symbiosome_4 Spectral Count	Symbiosome_5 Spectral Count	Symbiosome_6 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Control_6 Unique Spectral Count	Symbiosome_1 Unique Spectral Count	Symbiosome_2 Unique Spectral Count	Symbiosome_3 Unique Spectral Count	Symbiosome_4 Unique Spectral Count	Symbiosome_5 Unique Spectral Count	Symbiosome_6 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Control_6 Total Spectral Count	Symbiosome_1 Total Spectral Count	Symbiosome_2 Total Spectral Count	Symbiosome_3 Total Spectral Count	Symbiosome_4 Total Spectral Count	Symbiosome_5 Total Spectral Count	Symbiosome_6 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Control_6 Intensity	Symbiosome_1 Intensity	Symbiosome_2 Intensity	Symbiosome_3 Intensity	Symbiosome_4 Intensity	Symbiosome_5 Intensity	Symbiosome_6 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Control_6 MaxLFQ Intensity	Symbiosome_1 MaxLFQ Intensity	Symbiosome_2 MaxLFQ Intensity	Symbiosome_3 MaxLFQ Intensity	Symbiosome_4 MaxLFQ Intensity	Symbiosome_5 MaxLFQ Intensity	Symbiosome_6 MaxLFQ Intensity	Indistinguishable Proteins
AIPGENE10	AIPGENE10	AIPGENE10		172			AIPGENE10	1.0	0.9984	2	8	8	8	2	0	1	3	1	1	0	0	0	0	0	0	2	0	1	3	1	1	0	0	0	0	0	0	2	0	1	3	1	1	0	0	0	0	0	0	4924955.0	2963753.2	5977659.5	1.0420318E7	3283981.5	1992025.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10000	AIPGENE10000	AIPGENE10000		426			AIPGENE10000	1.0	0.9979	6	23	23	23	3	1	5	3	8	3	0	0	0	0	0	0	3	1	5	3	8	3	0	0	0	0	0	0	3	1	5	3	8	3	0	0	0	0	0	0	8180765.0	1.3375303E7	1.7944408E7	1.879045E7	3.4609084E7	1.0685476E7	0.0	0.0	0.0	0.0	0.0	0.0	5051681.5	8252137.0	1.1419204E7	1.2815591E7	1.459474E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE1001	AIPGENE1001	AIPGENE1001		164			AIPGENE1001	0.7723	0.992	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10018	AIPGENE10018	AIPGENE10018		370			AIPGENE10018	0.9999	0.9989	2	16	0	16	1	2	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	4	3	2	0	0	0	0	0	0	2.0731058E7	3.0269348E7	2.784933E7	2.0839986E7	3.2230178E7	2.1365362E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE10019
AIPGENE10063	AIPGENE10063	AIPGENE10063		968			AIPGENE10063	0.8171	0.9939	1	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0.0	1.267868E7	7049121.5	9189972.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0258674E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE3271
AIPGENE10108	AIPGENE10108	AIPGENE10108		197			AIPGENE10108	0.7416	0.9906	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10117	AIPGENE10117	AIPGENE10117		369			AIPGENE10117	1.0	0.9989	5	33	33	33	11	2	7	3	8	2	0	0	0	0	0	0	11	2	7	3	8	2	0	0	0	0	0	0	11	2	7	3	8	2	0	0	0	0	0	0	3.0935002E7	2.8339018E7	3.479588E7	2.3710032E7	4.9114984E7	1.0671065E7	0.0	0.0	0.0	0.0	0.0	0.0	1.4746901E7	1.3033327E7	1.5383271E7	9900040.0	1.5634169E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10129	AIPGENE10129	AIPGENE10129		239			AIPGENE10129	1.0	0.999	5	27	27	27	5	3	3	7	7	2	0	0	0	0	0	0	5	3	3	7	7	2	0	0	0	0	0	0	5	3	3	7	7	2	0	0	0	0	0	0	8946362.0	1.074082E7	1.2021071E7	3.0583568E7	3.7691636E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5132365.5	0.0	7348105.5	1.0941161E7	1.1125471E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10134	AIPGENE10134	AIPGENE10134		297			AIPGENE10134	0.9486	0.9985	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10135	AIPGENE10135	AIPGENE10135		231			AIPGENE10135	0.9994	0.991	2	5	1	5	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	1429865.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
