Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Control_6 Spectral Count	Symbiosome_1 Spectral Count	Symbiosome_2 Spectral Count	Symbiosome_3 Spectral Count	Symbiosome_4 Spectral Count	Symbiosome_5 Spectral Count	Symbiosome_6 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Control_6 Unique Spectral Count	Symbiosome_1 Unique Spectral Count	Symbiosome_2 Unique Spectral Count	Symbiosome_3 Unique Spectral Count	Symbiosome_4 Unique Spectral Count	Symbiosome_5 Unique Spectral Count	Symbiosome_6 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Control_6 Total Spectral Count	Symbiosome_1 Total Spectral Count	Symbiosome_2 Total Spectral Count	Symbiosome_3 Total Spectral Count	Symbiosome_4 Total Spectral Count	Symbiosome_5 Total Spectral Count	Symbiosome_6 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Control_6 Intensity	Symbiosome_1 Intensity	Symbiosome_2 Intensity	Symbiosome_3 Intensity	Symbiosome_4 Intensity	Symbiosome_5 Intensity	Symbiosome_6 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Control_6 MaxLFQ Intensity	Symbiosome_1 MaxLFQ Intensity	Symbiosome_2 MaxLFQ Intensity	Symbiosome_3 MaxLFQ Intensity	Symbiosome_4 MaxLFQ Intensity	Symbiosome_5 MaxLFQ Intensity	Symbiosome_6 MaxLFQ Intensity	Indistinguishable Proteins
AIPGENE10	AIPGENE10	AIPGENE10		172			AIPGENE10	1.0	0.9964	2	7	7	7	2	0	1	2	1	1	0	0	0	0	0	0	2	0	1	2	1	1	0	0	0	0	0	0	2	0	1	2	1	1	0	0	0	0	0	0	4924955.0	2958788.2	5985682.0	9904238.0	3276139.5	1948347.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10000	AIPGENE10000	AIPGENE10000		426			AIPGENE10000	1.0	0.9966	6	21	21	21	3	0	4	3	8	3	0	0	0	0	0	0	3	0	4	3	8	3	0	0	0	0	0	0	3	0	4	3	8	3	0	0	0	0	0	0	8180765.0	5731268.0	1.814912E7	1.815249E7	3.5050328E7	1.060412E7	0.0	0.0	0.0	0.0	0.0	0.0	5164257.0	0.0	1.2268258E7	1.2475909E7	1.4557848E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10018	AIPGENE10018	AIPGENE10018		370			AIPGENE10018	1.0	0.9987	2	16	0	16	1	2	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	4	3	2	0	0	0	0	0	0	2.0731058E7	3.0150438E7	2.6707922E7	2.0743422E7	3.1914312E7	2.1134846E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE10019
AIPGENE10043	AIPGENE10043	AIPGENE10043		444			AIPGENE10043	0.6317	0.9869	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5210667.0	7280433.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE1300, AIPGENE14397, AIPGENE1561, AIPGENE16019, AIPGENE16020, AIPGENE16026, AIPGENE16061, AIPGENE17173, AIPGENE17761, AIPGENE18975, AIPGENE20119, AIPGENE20531, AIPGENE21726, AIPGENE22541, AIPGENE23252, AIPGENE23253, AIPGENE23284, AIPGENE28411, AIPGENE6213
AIPGENE10063	AIPGENE10063	AIPGENE10063		968			AIPGENE10063	0.6691	0.9889	1	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0.0	1.2576527E7	7058581.5	8947030.0	0.0	0.0	0.0	0.0	0.0	0.0	1.004214E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE3271
AIPGENE10117	AIPGENE10117	AIPGENE10117		369			AIPGENE10117	1.0	0.9988	5	33	33	33	11	2	7	3	8	2	0	0	0	0	0	0	11	2	7	3	8	2	0	0	0	0	0	0	11	2	7	3	8	2	0	0	0	0	0	0	3.0935002E7	2.8901736E7	3.6932344E7	2.3354068E7	4.8633944E7	1.1012998E7	0.0	0.0	0.0	0.0	0.0	0.0	1.4752091E7	1.2989046E7	1.4562262E7	9513366.0	1.5522138E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE1012	AIPGENE1012	AIPGENE1012		751			AIPGENE1012	0.0	0.9888	2	4	0	4	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE18261, AIPGENE983
AIPGENE10129	AIPGENE10129	AIPGENE10129		239			AIPGENE10129	1.0	0.9989	5	25	25	25	5	2	3	7	7	1	0	0	0	0	0	0	5	2	3	7	7	1	0	0	0	0	0	0	5	2	3	7	7	1	0	0	0	0	0	0	8946362.0	1.0709755E7	1.768284E7	3.0265698E7	3.7528524E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5181502.0	0.0	7429399.5	1.0765878E7	1.1188764E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10134	AIPGENE10134	AIPGENE10134		297			AIPGENE10134	0.891	0.9972	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10135	AIPGENE10135	AIPGENE10135		231			AIPGENE10135	1.0	0.9934	2	5	0	5	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	1429865.8	0.0	3682874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
