"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6","Source","Hit.accession","Hit.description","Query.length","Hit.length","Max.bit.score","Total.bit.score","Identity","Identity..","Coverage..","Expect","GO.terms","log2FoldChange_Sym0_Apo0","padj_Sym0_Apo0","TM_Helices","Enrichment"
"AIPGENE24762",3.97163008957364e-08,3.68794222603267e-07,-7.97774063080496,27.4488196506685,NA,NA,NA,NA,20.6107562528357,NA,29.0021710337727,28.6381902261168,28.9514172318768,28.0273347916299,28.0501198256379,28.8617481928098,"Swiss-Prot","sp|P07098|LIPG_HUMAN","Gastric triacylglycerol lipase OS=Homo sapiens GN=LIPF PE=1 SV=1",414,398,418.7,418.7,"200/374","53.48%","90.34%",2.43e-142,"""GO:0003674,GO:0003824,GO:0004806,GO:0005488,GO:0005575,GO:0005576,GO:0005739,GO:0006082,GO:0006108,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0008150,GO:0008152,GO:0008289,GO:0009056,GO:0009987,GO:0016042,GO:0016298,GO:0016491,GO:0016614,GO:0016615,GO:0016787,GO:0016788,GO:0019752,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046486,GO:0052689,GO:0055114,GO:0071704,GO:1901575""",0.464346596018133,0.000437246958543966,"0","SymEnriched"
"AIPGENE27709",3.62904170459157e-09,5.24194912885449e-08,-6.57754827209498,27.1947724361627,NA,23.5010765298986,NA,21.5163491349542,23.823305306328,24.1522429204422,30.2061819879186,29.9889302017143,30.2096411481443,29.2682294358004,30.0315237786455,29.2502439177812,"Swiss-Prot","sp|P27615|SCRB2_RAT","Lysosome membrane protein 2 OS=Rattus norvegicus GN=Scarb2 PE=1 SV=2",517,478,271.94,271.94,"153/449","34.08%","86.65%",6.37e-83,"""GO:0000323,GO:0003674,GO:0004872,GO:0005488,GO:0005515,GO:0005575,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005775,GO:0006605,GO:0006622,GO:0006623,GO:0006810,GO:0006886,GO:0007034,GO:0007041,GO:0007155,GO:0008150,GO:0015031,GO:0016020,GO:0016021,GO:0016482,GO:0019899,GO:0022610,GO:0031090,GO:0031974,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0046907,GO:0051234,GO:0051649,GO:0070013,GO:0071702,GO:0072594,GO:0072666,GO:0098588,GO:1902582""",NA,NA,"2","SymEnriched"
"AIPGENE17453",7.25783903659515e-06,3.57393588923246e-05,-6.48095651645347,26.9059047115141,NA,NA,NA,NA,22.045187324174,NA,NA,28.6436573699313,NA,NA,28.6931361871447,28.2416379648064,"Swiss-Prot","sp|Q568M3|CRLF3_DANRE","Cytokine receptor-like factor 3 OS=Danio rerio GN=crlf3 PE=2 SV=1",447,444,187.96,187.96,"140/472","29.66%","98.88%",2.06e-52,"""GO:0005575,GO:0005737,GO:0044424,GO:0044464""",NA,NA,"0","SymEnriched"
"AIPGENE3906",1.38666754596466e-10,4.50666952438514e-09,-6.39195757703953,27.1659298612668,24.3285244580694,22.4480823808922,24.4656242462517,23.0593252595085,24.2212716605268,25.2968784312339,30.0121680067969,30.3696505204463,30.5471662426347,30.7673673252126,29.8483357008434,30.6267641027858,"Swiss-Prot","sp|P48066|S6A11_HUMAN","Sodium- and chloride-dependent GABA transporter 3 OS=Homo sapiens GN=SLC6A11 PE=2 SV=1",298,632,283.11,283.11,"131/259","50.58%","86.91%",1.56e-88,"""GO:0001505,GO:0003674,GO:0005215,GO:0005283,GO:0005326,GO:0005328,GO:0005332,GO:0005342,GO:0005343,GO:0005416,GO:0005488,GO:0005575,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006836,GO:0006865,GO:0007154,GO:0007267,GO:0007268,GO:0007269,GO:0007420,GO:0008028,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015077,GO:0015081,GO:0015171,GO:0015185,GO:0015291,GO:0015293,GO:0015294,GO:0015296,GO:0015370,GO:0015711,GO:0015718,GO:0015812,GO:0015849,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0023052,GO:0023061,GO:0032502,GO:0032940,GO:0042165,GO:0042221,GO:0042493,GO:0042995,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0044699,GO:0044700,GO:0044763,GO:0044765,GO:0044767,GO:0046873,GO:0046903,GO:0046942,GO:0046943,GO:0048513,GO:0048856,GO:0050896,GO:0051234,GO:0051649,GO:0055085,GO:0065007,GO:0065008,GO:0071702,GO:0071705""",4.95361069105499,2.55515368211593e-76,"7","SymEnriched"
"AIPGENE5532",3.36435182991093e-13,1.09341434472105e-10,-5.8659704004041,27.1450551956038,24.7788422093456,23.5034520579102,24.5478086300661,23.8002769779137,24.5807933650242,24.0612467321506,30.01485746993,30.211755226195,30.0304943553729,30.3126045932723,29.8857403418649,30.0127903881999,"Swiss-Prot","sp|O15118|NPC1_HUMAN","Niemann-Pick C1 protein OS=Homo sapiens GN=NPC1 PE=1 SV=2",1338,1278,1102.43,1102.43,"589/1322","44.55%","97.61%",0,"""GO:0000323,GO:0003674,GO:0004871,GO:0004872,GO:0004888,GO:0005215,GO:0005319,GO:0005488,GO:0005496,GO:0005515,GO:0005575,GO:0005576,GO:0005635,GO:0005764,GO:0005765,GO:0005768,GO:0005773,GO:0005774,GO:0005783,GO:0005794,GO:0005886,GO:0005887,GO:0005975,GO:0006066,GO:0006082,GO:0006464,GO:0006486,GO:0006629,GO:0006810,GO:0006869,GO:0006897,GO:0006914,GO:0007034,GO:0007041,GO:0007165,GO:0007610,GO:0007626,GO:0007628,GO:0008150,GO:0008152,GO:0008158,GO:0008202,GO:0008203,GO:0008206,GO:0008289,GO:0008344,GO:0009056,GO:0009719,GO:0009725,GO:0009892,GO:0009894,GO:0009895,GO:0009987,GO:0010008,GO:0010033,GO:0010035,GO:0010038,GO:0010506,GO:0010507,GO:0010646,GO:0010648,GO:0010941,GO:0014070,GO:0015248,GO:0015485,GO:0015850,GO:0015918,GO:0016020,GO:0016021,GO:0016043,GO:0016125,GO:0016192,GO:0016241,GO:0016242,GO:0019222,GO:0019538,GO:0019752,GO:0022892,GO:0030301,GO:0030534,GO:0031090,GO:0031323,GO:0031324,GO:0031329,GO:0031330,GO:0031579,GO:0031902,GO:0031967,GO:0031975,GO:0031982,GO:0031988,GO:0032101,GO:0032102,GO:0032104,GO:0032105,GO:0032107,GO:0032108,GO:0032501,GO:0032787,GO:0032870,GO:0032934,GO:0033344,GO:0033993,GO:0036094,GO:0036211,GO:0038023,GO:0042221,GO:0042493,GO:0042592,GO:0042632,GO:0043170,GO:0043178,GO:0043226,GO:0043227,GO:0043229,GO:0043230,GO:0043231,GO:0043412,GO:0043413,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044267,GO:0044281,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044699,GO:0044707,GO:0044708,GO:0044710,GO:0044723,GO:0044763,GO:0044765,GO:0044802,GO:0045121,GO:0045184,GO:0046686,GO:0046907,GO:0048471,GO:0048519,GO:0048523,GO:0048545,GO:0048583,GO:0048585,GO:0048878,GO:0050789,GO:0050794,GO:0050896,GO:0051234,GO:0051649,GO:0051716,GO:0055088,GO:0055092,GO:0055094,GO:0055098,GO:0060089,GO:0060548,GO:0061024,GO:0065007,GO:0065008,GO:0065010,GO:0070062,GO:0070085,GO:0070887,GO:0071310,GO:0071383,GO:0071396,GO:0071402,GO:0071404,GO:0071407,GO:0071495,GO:0071702,GO:0071704,GO:0071840,GO:0080134,GO:0080135,GO:0090150,GO:0097159,GO:0098588,GO:1901360,GO:1901615,GO:1902582""",NA,NA,"12","SymEnriched"
"AIPGENE13250",1.98772754859932e-08,2.11491693004871e-07,-5.86593542590649,26.8743000866638,NA,NA,21.933399279355,NA,23.0162977551129,NA,28.4915261896323,27.9405575399241,28.8578575346226,27.8469938780828,28.45142483189,28.4563436846908,"Swiss-Prot","sp|Q99571|P2RX4_HUMAN","P2X purinoceptor 4 OS=Homo sapiens GN=P2RX4 PE=1 SV=2",746,388,352.06,656.35,"337/729","46.23%","96.25%",4.68e-112,"""GO:0000166,GO:0001614,GO:0001775,GO:0001882,GO:0001883,GO:0001894,GO:0002028,GO:0003008,GO:0003012,GO:0003674,GO:0004871,GO:0004872,GO:0004888,GO:0004931,GO:0005102,GO:0005215,GO:0005216,GO:0005230,GO:0005231,GO:0005261,GO:0005488,GO:0005507,GO:0005515,GO:0005524,GO:0005575,GO:0005639,GO:0005765,GO:0005774,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006937,GO:0006942,GO:0006950,GO:0007165,GO:0007166,GO:0007600,GO:0008016,GO:0008150,GO:0008217,GO:0008270,GO:0008324,GO:0009719,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010243,GO:0010522,GO:0010524,GO:0010611,GO:0010614,GO:0010646,GO:0010647,GO:0010959,GO:0014070,GO:0014074,GO:0014741,GO:0014743,GO:0015075,GO:0015267,GO:0015276,GO:0016020,GO:0016021,GO:0016502,GO:0017076,GO:0019222,GO:0019233,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022857,GO:0022891,GO:0022892,GO:0023051,GO:0023056,GO:0030054,GO:0030554,GO:0031090,GO:0031301,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031982,GO:0031988,GO:0032303,GO:0032305,GO:0032306,GO:0032308,GO:0032368,GO:0032370,GO:0032386,GO:0032388,GO:0032501,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032844,GO:0032846,GO:0032879,GO:0032890,GO:0032892,GO:0033198,GO:0034220,GO:0034405,GO:0035381,GO:0035586,GO:0035587,GO:0035590,GO:0035639,GO:0036094,GO:0038023,GO:0042118,GO:0042221,GO:0042391,GO:0042592,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043230,GO:0043269,GO:0043270,GO:0043502,GO:0044057,GO:0044070,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044437,GO:0044444,GO:0044446,GO:0044453,GO:0044459,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044765,GO:0045296,GO:0045428,GO:0045429,GO:0046683,GO:0046872,GO:0046914,GO:0046983,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050839,GO:0050848,GO:0050850,GO:0050877,GO:0050896,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051171,GO:0051173,GO:0051234,GO:0051239,GO:0051241,GO:0051716,GO:0051899,GO:0051924,GO:0051928,GO:0055085,GO:0055117,GO:0055119,GO:0060089,GO:0060249,GO:0060341,GO:0065007,GO:0065008,GO:0065010,GO:0070062,GO:0070887,GO:0071310,GO:0071318,GO:0071407,GO:0071417,GO:0071495,GO:0090075,GO:0090257,GO:0097159,GO:0097190,GO:0097367,GO:0098588,GO:1901265,GO:1901363,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902533,GO:2000021,GO:2000191,GO:2000193""",0.383052021604175,0.0135554208245034,"4","SymEnriched"
"AIPGENE12082",2.23791201606739e-12,4.84880936814601e-10,-5.51169937768993,27.4682290925994,24.34260626348,24.7834916520455,23.9226550242108,24.7902441269646,25.0489116754375,25.386367680388,30.3581382595325,29.9929497266515,29.9652363672886,30.7354169914247,30.260429212655,30.0323021311136,"Swiss-Prot","sp|P27674|GTR1_BOVIN","""Solute carrier family 2, facilitated glucose transporter member 1 OS=Bos taurus GN=SLC2A1 PE=2 SV=1""",473,492,361.3,361.3,"194/420","46.19%","86.47%",8.74e-118,"""GO:0001939,GO:0003674,GO:0005215,GO:0005355,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005634,GO:0005737,GO:0005856,GO:0005886,GO:0005887,GO:0006461,GO:0006810,GO:0006811,GO:0006820,GO:0006950,GO:0007154,GO:0008150,GO:0008643,GO:0008645,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0015144,GO:0015145,GO:0015149,GO:0015711,GO:0015749,GO:0015758,GO:0016020,GO:0016021,GO:0016023,GO:0016043,GO:0016323,GO:0022607,GO:0022857,GO:0022891,GO:0022892,GO:0030496,GO:0030863,GO:0030864,GO:0031410,GO:0031667,GO:0031668,GO:0031669,GO:0031982,GO:0031988,GO:0033554,GO:0042149,GO:0042470,GO:0042594,GO:0042802,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043621,GO:0043933,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044459,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0045120,GO:0046323,GO:0048770,GO:0050896,GO:0051119,GO:0051180,GO:0051234,GO:0051716,GO:0055085,GO:0065003,GO:0070837,GO:0071496,GO:0071702,GO:0071822,GO:0071840,GO:0098589,GO:0098590,GO:1901476""",1.17218664340882,1.1058375068666e-20,"11","SymEnriched"
"AIPGENE15748",2.23170751892688e-10,6.59368130592034e-09,-5.46946564769221,26.1558180115426,23.9796946901776,22.6140109296697,23.487239405693,22.9765688403746,23.157188546187,24.3118087140773,29.2510960729574,28.6512009326023,28.0051347918582,30.0172365225387,28.471557421033,28.9470792713429,"Swiss-Prot","sp|Q6J8I9|MIP_SHEEP","Lens fiber major intrinsic protein OS=Ovis aries GN=MIP PE=1 SV=1",270,263,169.86,169.86,"93/260","35.77%","94.07%",2.11e-49,"""GO:0002088,GO:0003008,GO:0003674,GO:0005198,GO:0005212,GO:0005215,GO:0005372,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005886,GO:0005887,GO:0005911,GO:0005921,GO:0006810,GO:0006833,GO:0007600,GO:0007601,GO:0008150,GO:0015250,GO:0015267,GO:0016020,GO:0016021,GO:0022803,GO:0022838,GO:0022857,GO:0022891,GO:0022892,GO:0030054,GO:0032501,GO:0032502,GO:0042044,GO:0044425,GO:0044459,GO:0044464,GO:0044699,GO:0044707,GO:0044765,GO:0044767,GO:0048856,GO:0050877,GO:0050896,GO:0050953,GO:0051234""",2.58538985071964,1.14529746955587e-60,"6","SymEnriched"
"AIPGENE13278",3.12817178500045e-10,8.23599258733272e-09,-5.23201936045167,26.2744249089575,24.3181151394366,22.3170856509924,23.798362689982,23.7394418784371,23.9997117710612,23.7777742424808,29.312227788131,28.8165853628316,29.7394143794901,27.9409780666945,28.7515499845466,28.7818519534063,"Swiss-Prot","sp|Q69ZN7|MYOF_MOUSE","Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2",1500,2048,1175.23,1253.78,"697/1743","39.99%","99.87%",0,"""GO:0001778,GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005634,GO:0005886,GO:0005901,GO:0006950,GO:0007009,GO:0008150,GO:0008289,GO:0009266,GO:0009408,GO:0009628,GO:0009966,GO:0009987,GO:0010646,GO:0012506,GO:0016020,GO:0016021,GO:0016043,GO:0023051,GO:0030659,GO:0030947,GO:0031090,GO:0031410,GO:0031965,GO:0031982,GO:0031988,GO:0033554,GO:0034605,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043230,GO:0043231,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044433,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044699,GO:0044802,GO:0045121,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0061024,GO:0065007,GO:0065010,GO:0070062,GO:0071840,GO:0090287""",NA,NA,"0","SymEnriched"
"AIPGENE25956",1.89732210427965e-09,3.24541938889941e-08,-5.22736035570272,26.0300401454874,NA,22.8309983951876,NA,21.8677813418288,NA,22.9366199880404,27.6946958896746,27.5687624110426,27.3533577154029,28.1436535757338,27.9774046975544,27.8970872949216,"Swiss-Prot","sp|Q9WU63|HEBP2_MOUSE","Heme-binding protein 2 OS=Mus musculus GN=Hebp2 PE=1 SV=1",204,205,122.09,122.09,"59/166","35.54%","79.90%",1.63e-32,"""GO:0003674,GO:0005575,GO:0005737,GO:0005739,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464""",-0.421330424353873,0.00175887949797731,"0","SymEnriched"
