"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6","Source","Hit.accession","Hit.description","Query.length","Hit.length","Max.bit.score","Total.bit.score","Identity","Identity..","Coverage..","Expect","GO.terms","log2FoldChange_Sym0_Apo0","padj_Sym0_Apo0","TM_Helices","Enrichment"
"AIPGENE3632",0.025144354425036,0.044731196551277,1.00837007161474,24.9450793302016,24.9678957092241,24.857236765849,24.5267681165417,25.5971409261699,25.7012384202096,25.5327511506377,24.3675642904901,NA,24.0100392624911,NA,NA,NA,"Swiss-Prot","sp|P15690|NDUS1_BOVIN","""NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Bos taurus GN=NDUFS1 PE=1 SV=1""",1323,727,902.51,902.51,"424/653","64.93%","46.56%",0,"""GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0005575,GO:0005739,GO:0005743,GO:0005747,GO:0005758,GO:0006091,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007005,GO:0008137,GO:0008150,GO:0008152,GO:0008637,GO:0009055,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016020,GO:0016043,GO:0016491,GO:0016651,GO:0016655,GO:0019637,GO:0019693,GO:0019866,GO:0022900,GO:0022904,GO:0030964,GO:0031090,GO:0031966,GO:0031970,GO:0031974,GO:0032991,GO:0034641,GO:0042278,GO:0042391,GO:0042773,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045271,GO:0045333,GO:0046034,GO:0046128,GO:0046483,GO:0046872,GO:0050136,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0051881,GO:0055086,GO:0055114,GO:0065007,GO:0065008,GO:0070469,GO:0071704,GO:0071840,GO:0072521,GO:0072593,GO:1901135,GO:1901360,GO:1901564,GO:1901657,GO:1902494,GO:1990204""",NA,NA,"6","ConEnriched"
"AIPGENE3701",0.0121627818432557,0.0243255636865114,1.00909491151448,26.2020258362503,26.8636813039791,26.3235024178253,26.3229497311844,26.7616865057659,26.5269902149131,27.4406295783775,26.7772099604549,25.2092950708549,25.646432947664,24.6295497325514,25.3155970914753,26.6067854799579,"Swiss-Prot","sp|Q90YS3|RS2_ICTPU","40S ribosomal protein S2 OS=Ictalurus punctatus GN=rps2 PE=2 SV=1",299,277,423.7,423.7,"207/237","87.34%","79.26%",5.84e-148,"""GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005840,GO:0006412,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0015935,GO:0019538,GO:0030529,GO:0032991,GO:0034645,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901576""",NA,NA,"0","ConEnriched"
"AIPGENE19462",0.00824400905792104,0.0172731618356441,1.02437368975612,23.3863248143822,23.902765525121,23.9165662525325,24.2042836316954,23.6347786221438,23.3966357402241,23.3116664940885,NA,23.3175645273776,22.5941899331185,NA,NA,22.1984726031382,"Swiss-Prot","sp|P49256|LMAN2_CANFA","Vesicular integral-membrane protein VIP36 OS=Canis familiaris GN=LMAN2 PE=1 SV=1",199,356,97.44,147.12,"69/135","51.11%","66.83%",1.14e-22,"""GO:0000139,GO:0003674,GO:0005488,GO:0005575,GO:0005794,GO:0005798,GO:0006810,GO:0008150,GO:0015031,GO:0016020,GO:0016021,GO:0016023,GO:0030135,GO:0030137,GO:0031090,GO:0031410,GO:0031982,GO:0031988,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046872,GO:0048471,GO:0051234,GO:0071702,GO:0098588""",1.00671670040384,4.78130758936209e-11,"0","ConEnriched"
"AIPGENE11718",0.0228724783497919,0.0413109685914782,1.03779304395226,24.0105189626272,24.1291318771254,23.7758662049701,23.6927199795156,24.8500656639719,24.7734025592744,24.3986170568344,NA,NA,23.3899803725873,NA,23.0743679867388,NA,"Swiss-Prot","sp|F7E235|FAXC_XENTR","Failed axon connections homolog OS=Xenopus tropicalis GN=faxc PE=3 SV=1",283,406,187.19,187.19,"92/241","38.17%","84.10%",2.43e-54,"""GO:0005575,GO:0016020,GO:0016021,GO:0044425""",NA,NA,"1","ConEnriched"
"AIPGENE122",0.0182707790955526,0.0346579956968796,1.03807211066914,28.4678119088699,29.3468429503181,28.880285943885,28.6299515017322,28.4850739460582,29.0509430966474,29.5279903465857,27.8667658864804,28.7415030524915,29.3774640455968,26.5967686355568,27.3413163411123,27.768837159974,"Swiss-Prot","sp|O70244|CUBN_RAT","Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2",1968,3623,201.83,2038.63,"2675/11350","23.57%","51.78%",2.63e-50,"""GO:0000323,GO:0001701,GO:0003674,GO:0004872,GO:0005215,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005764,GO:0005765,GO:0005768,GO:0005773,GO:0005774,GO:0005775,GO:0005905,GO:0006066,GO:0006461,GO:0006629,GO:0006766,GO:0006810,GO:0006897,GO:0006898,GO:0007584,GO:0008150,GO:0008152,GO:0008202,GO:0008203,GO:0009605,GO:0009790,GO:0009792,GO:0009991,GO:0010008,GO:0012506,GO:0015031,GO:0015235,GO:0015889,GO:0016020,GO:0016023,GO:0016043,GO:0016125,GO:0016192,GO:0017038,GO:0019842,GO:0020028,GO:0022607,GO:0030135,GO:0030492,GO:0030659,GO:0030666,GO:0031090,GO:0031253,GO:0031410,GO:0031419,GO:0031526,GO:0031667,GO:0031974,GO:0031982,GO:0031988,GO:0032502,GO:0032991,GO:0036094,GO:0042221,GO:0042802,GO:0043009,GO:0043167,GO:0043169,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043933,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044699,GO:0044710,GO:0044765,GO:0044767,GO:0045184,GO:0046872,GO:0046906,GO:0048856,GO:0050896,GO:0051180,GO:0051183,GO:0051234,GO:0051259,GO:0051260,GO:0065003,GO:0070013,GO:0070206,GO:0070207,GO:0071702,GO:0071704,GO:0071705,GO:0071822,GO:0071840,GO:0097159,GO:0098588,GO:1901360,GO:1901363,GO:1901615""",1.14383853014738,2.18784399848785e-11,"0","ConEnriched"
"AIPGENE20468",0.0236057821866197,0.0423364571825244,1.04245716059092,24.5540642692026,25.0775698152301,23.9373433838363,24.6244956267312,24.8650787675126,25.2880671459564,25.0955166168353,24.029945316166,NA,23.5144974813528,NA,NA,NA,"Swiss-Prot","sp|P36241|RL19_DROME","60S ribosomal protein L19 OS=Drosophila melanogaster GN=RpL19 PE=1 SV=2",208,203,250.75,250.75,"121/155","78.06%","74.52%",1.49e-82,"""GO:0000022,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005840,GO:0006412,GO:0006996,GO:0007017,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0019538,GO:0022402,GO:0030529,GO:0031023,GO:0032991,GO:0034645,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0051231,GO:0051297,GO:0051298,GO:0071704,GO:0071840,GO:1901576,GO:1902589,GO:1903047""",-0.499233248090609,7.5357543908298e-06,"1","ConEnriched"
"AIPGENE11828",0.00762610233509847,0.0160545787872804,1.04411332791118,25.6380537641194,25.9034514659571,25.7575231006092,26.0872811197468,25.9595145100724,26.0099087854192,25.6768135947786,NA,25.2104662425071,24.499471293865,NA,NA,NA,"Swiss-Prot","sp|Q6P8X1|SNX6_MOUSE","Sorting nexin-6 OS=Mus musculus GN=Snx6 PE=1 SV=2",403,406,524.63,524.63,"257/402","63.93%","99.01%",0,"""GO:0003674,GO:0005102,GO:0005126,GO:0005160,GO:0005488,GO:0005515,GO:0005543,GO:0005575,GO:0005634,GO:0005737,GO:0005768,GO:0006355,GO:0006810,GO:0006886,GO:0008150,GO:0008289,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009968,GO:0010008,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010646,GO:0010648,GO:0012506,GO:0015031,GO:0016020,GO:0016192,GO:0016197,GO:0017015,GO:0019219,GO:0019222,GO:0023051,GO:0023057,GO:0030512,GO:0030659,GO:0031090,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031410,GO:0031901,GO:0031982,GO:0034713,GO:0035091,GO:0042147,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0045892,GO:0045934,GO:0046907,GO:0046983,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051234,GO:0051252,GO:0051253,GO:0051649,GO:0060255,GO:0065007,GO:0071702,GO:0080090,GO:0090092,GO:0090101,GO:0090287,GO:0090288,GO:0098588,GO:1902582,GO:1902679,GO:2000112,GO:2000113,GO:2001141""",NA,NA,"0","ConEnriched"
"AIPGENE21274",0.0274534851743072,0.0474327230760281,1.05907742151933,24.0728393346397,24.5311524701741,23.7597150560204,24.0590056118242,24.3676086179543,25.1596826622529,NA,NA,23.2637039033428,23.3690070209089,NA,NA,NA,"Swiss-Prot","sp|Q9BX51|GGTL1_HUMAN","Gamma-glutamyltransferase light chain 1 OS=Homo sapiens GN=GGTLC1 PE=2 SV=2",214,225,179.87,179.87,"99/223","44.39%","97.20%",2.03e-54,"""GO:0003674,GO:0003824,GO:0003840,GO:0005575,GO:0006082,GO:0006518,GO:0006520,GO:0006575,GO:0006629,GO:0006631,GO:0006633,GO:0006636,GO:0006690,GO:0006691,GO:0006749,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016740,GO:0016746,GO:0016755,GO:0019370,GO:0019752,GO:0031225,GO:0031362,GO:0032787,GO:0033559,GO:0034641,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044425,GO:0044459,GO:0044464,GO:0044699,GO:0044710,GO:0044711,GO:0044763,GO:0046394,GO:0046456,GO:0046658,GO:0071704,GO:0072330,GO:1901564,GO:1901568,GO:1901570,GO:1901576""",NA,NA,"0","ConEnriched"
"AIPGENE13029",0.00534383594915394,0.0116017491001369,1.07134793071701,26.5654243558594,27.1461551930434,26.883476848357,27.2241278180699,27.2670951850124,27.325987860893,26.7597470219315,25.0724964766967,26.1749617339062,27.5278658732742,25.9529916313096,25.6913470208305,25.7588396069879,"Swiss-Prot","sp|P09010|LAML1_XENLA","Lamin-L(I) OS=Xenopus laevis PE=2 SV=1",575,583,336.26,336.26,"203/522","38.89%","89.22%",1.45e-105,"""GO:0003674,GO:0005198,GO:0005575,GO:0005634,GO:0005637,GO:0005638,GO:0005882,GO:0016020,GO:0019866,GO:0031090,GO:0031965,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044446,GO:0044464""",0.814687957102777,6.99920542146288e-09,"0","ConEnriched"
"AIPGENE7519",0.00357342369663004,0.00839851711093238,1.07624403348707,25.0706595740579,25.3595163158376,25.308833891648,25.4878673410004,25.2790559572736,25.9136888693676,25.6579807495889,NA,24.8308411503633,25.0248561116782,NA,24.2773705051748,23.5665848486462,"Swiss-Prot","sp|P70691|UD12_MOUSE","UDP-glucuronosyltransferase 1-2 OS=Mus musculus GN=Ugt1a2 PE=2 SV=1",979,533,303.14,529.62,"324/937","34.58%","92.03%",8.13e-90,"""GO:0003674,GO:0003824,GO:0005575,GO:0005783,GO:0005789,GO:0008150,GO:0008152,GO:0008194,GO:0015020,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0016758,GO:0031090,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0098588,GO:0098589""",1.39897297307333,4.18345252266209e-08,"1","ConEnriched"
