"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6","Source","Hit.accession","Hit.description","Query.length","Hit.length","Max.bit.score","Total.bit.score","Identity","Identity..","Coverage..","Expect","GO.terms","log2FoldChange_Sym0_Apo0","padj_Sym0_Apo0","TM_Helices","Enrichment"
"AIPGENE23527",0.00120807294477002,0.00297267387533298,1.01996888407104,25.0309520731668,24.728116638113,25.6427463627472,26.1426627766264,25.9596901099515,25.1666198647129,25.6057833390631,24.7363568373712,24.8646319953986,24.2148642649331,24.5721515928242,24.3945103353287,24.343290760932,"Swiss-Prot","sp|P72745|Y1101_SYNY3","Universal stress protein Slr1101 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr1101 PE=3 SV=1",151,108,57.38,57.38,"30/82","36.59%","54.30%",5.64e-10,"""GO:0006950,GO:0008150,GO:0050896""",0.530794856457646,0.00032060297512363,"0","ConEnriched"
"AIPGENE11718",0.00748977705569457,0.0148362763892457,1.02093962105426,24.0344618474908,24.5585750331824,23.7722624032988,23.7591909971318,24.7905206199949,24.7718975021826,25.0045796196845,NA,23.3400084542893,23.2418608964205,23.9931948814649,23.1125280672583,NA,"Swiss-Prot","sp|F7E235|FAXC_XENTR","Failed axon connections homolog OS=Xenopus tropicalis GN=faxc PE=3 SV=1",283,406,187.19,187.19,"92/241","38.17%","84.10%",2.43e-54,"""GO:0005575,GO:0016020,GO:0016021,GO:0044425""",NA,NA,"1","ConEnriched"
"AIPGENE122",0.0180368082761034,0.0327353122580109,1.02565381074246,28.4858768594935,29.3238014018318,28.8911950953063,28.6678313674585,28.5055263450735,29.0561297883243,29.5477385911938,28.0869469482415,28.7856786554125,29.2921610675459,26.7163908820064,27.2965649792108,27.6605571923163,"Swiss-Prot","sp|O70244|CUBN_RAT","Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2",1968,3623,201.83,2038.63,"2675/11350","23.57%","51.78%",2.63e-50,"""GO:0000323,GO:0001701,GO:0003674,GO:0004872,GO:0005215,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005764,GO:0005765,GO:0005768,GO:0005773,GO:0005774,GO:0005775,GO:0005905,GO:0006066,GO:0006461,GO:0006629,GO:0006766,GO:0006810,GO:0006897,GO:0006898,GO:0007584,GO:0008150,GO:0008152,GO:0008202,GO:0008203,GO:0009605,GO:0009790,GO:0009792,GO:0009991,GO:0010008,GO:0012506,GO:0015031,GO:0015235,GO:0015889,GO:0016020,GO:0016023,GO:0016043,GO:0016125,GO:0016192,GO:0017038,GO:0019842,GO:0020028,GO:0022607,GO:0030135,GO:0030492,GO:0030659,GO:0030666,GO:0031090,GO:0031253,GO:0031410,GO:0031419,GO:0031526,GO:0031667,GO:0031974,GO:0031982,GO:0031988,GO:0032502,GO:0032991,GO:0036094,GO:0042221,GO:0042802,GO:0043009,GO:0043167,GO:0043169,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043933,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044699,GO:0044710,GO:0044765,GO:0044767,GO:0045184,GO:0046872,GO:0046906,GO:0048856,GO:0050896,GO:0051180,GO:0051183,GO:0051234,GO:0051259,GO:0051260,GO:0065003,GO:0070013,GO:0070206,GO:0070207,GO:0071702,GO:0071704,GO:0071705,GO:0071822,GO:0071840,GO:0097159,GO:0098588,GO:1901360,GO:1901363,GO:1901615""",1.14383853014738,2.18784399848785e-11,"0","ConEnriched"
"AIPGENE29211",0.0245955609064165,0.0424128176260253,1.04038073948847,26.4153144203239,26.6495574134205,27.127661981062,26.2078272214838,26.9709464108839,27.0867825115864,26.0096820927397,NA,25.3125781136095,25.9574796178057,NA,NA,NA,"Swiss-Prot","sp|P13437|THIM_RAT","""3-ketoacyl-CoA thiolase, mitochondrial OS=Rattus norvegicus GN=Acaa2 PE=2 SV=1""",398,397,528.09,528.09,"249/394","63.20%","98.99%",0,"""GO:0003674,GO:0003824,GO:0003988,GO:0005575,GO:0005739,GO:0005759,GO:0006082,GO:0006084,GO:0006629,GO:0006631,GO:0006635,GO:0006637,GO:0006732,GO:0006790,GO:0006793,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009966,GO:0009987,GO:0010639,GO:0010646,GO:0010821,GO:0010823,GO:0010941,GO:0016042,GO:0016054,GO:0016408,GO:0016740,GO:0016746,GO:0016747,GO:0019395,GO:0019752,GO:0023051,GO:0030258,GO:0031974,GO:0032386,GO:0032787,GO:0032879,GO:0033043,GO:0034440,GO:0035383,GO:0042981,GO:0043067,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046395,GO:0048519,GO:0048523,GO:0048583,GO:0050789,GO:0050794,GO:0051049,GO:0051128,GO:0051129,GO:0051186,GO:0055114,GO:0060341,GO:0065007,GO:0070013,GO:0071704,GO:0072329,GO:1901028,GO:1901029,GO:1901575,GO:2001233""",NA,NA,"0","ConEnriched"
"AIPGENE5660",0.000965274416196004,0.00246705200031806,1.09932270114843,24.7859561541852,25.4624802172521,25.3240316856878,24.7721774540161,25.5453154987444,25.319636126744,25.2902487639809,24.0326474934645,24.0176472892093,24.9952750663543,NA,23.6403445110203,24.2457135895639,"Swiss-Prot","sp|Q5R8H3|BAP31_PONAB","B-cell receptor-associated protein 31 OS=Pongo abelii GN=BCAP31 PE=2 SV=3",246,246,192.97,192.97,"115/249","46.18%","99.59%",7.09e-59,"""GO:0005575,GO:0005783,GO:0005789,GO:0006810,GO:0006886,GO:0006915,GO:0008150,GO:0008219,GO:0009987,GO:0012501,GO:0015031,GO:0016020,GO:0016021,GO:0016192,GO:0016265,GO:0031090,GO:0033116,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0045184,GO:0046907,GO:0051234,GO:0051649,GO:0071702,GO:0098588,GO:0098589""",0.85765048964406,9.19327516819012e-08,"3","ConEnriched"
"AIPGENE4954",0.00159251984519894,0.00371023240530392,1.11716954664821,26.7197920892573,27.3532629087026,27.3166471190737,26.664222977531,27.0605442676517,27.3174776328516,27.2878045416887,NA,NA,26.1889450966188,26.1522731335446,25.3138319623227,26.5429112525873,"Swiss-Prot","sp|Q02874|H2AY_RAT","Core histone macro-H2A.1 OS=Rattus norvegicus GN=H2afy PE=1 SV=4",368,371,328.95,328.95,"192/383","50.13%","99.73%",2.83e-108,"""GO:0000228,GO:0000786,GO:0000793,GO:0000803,GO:0000805,GO:0001740,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0005488,GO:0005515,GO:0005575,GO:0005634,GO:0005694,GO:0006325,GO:0006334,GO:0006461,GO:0006996,GO:0007549,GO:0008150,GO:0009987,GO:0010468,GO:0016043,GO:0016568,GO:0019222,GO:0022607,GO:0032991,GO:0032993,GO:0034622,GO:0034728,GO:0040029,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043933,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044464,GO:0044815,GO:0046982,GO:0046983,GO:0050789,GO:0051276,GO:0060255,GO:0065003,GO:0065004,GO:0065007,GO:0071822,GO:0071824,GO:0071840,GO:0097159,GO:1901363,GO:1990104""",NA,NA,"0","ConEnriched"
"AIPGENE8117",0.0214435741641084,0.0379742000695935,1.12402300341949,26.8871092564251,27.1830681178732,27.219908030527,27.211893134165,27.5084233919573,27.8066473604049,27.0903707118302,26.9845528446671,26.6555539473793,26.7183619845919,NA,24.4923130408555,NA,"Swiss-Prot","sp|P35611|ADDA_HUMAN","Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2",651,737,347.82,347.82,"191/416","45.91%","60.37%",2.23e-107,"""GO:0000902,GO:0001101,GO:0001701,GO:0001894,GO:0001932,GO:0001934,GO:0003674,GO:0003676,GO:0003723,GO:0003779,GO:0005102,GO:0005198,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005634,GO:0005737,GO:0005829,GO:0005856,GO:0005886,GO:0006884,GO:0006915,GO:0006921,GO:0006950,GO:0006984,GO:0006986,GO:0006987,GO:0006996,GO:0007010,GO:0007015,GO:0007165,GO:0008064,GO:0008092,GO:0008134,GO:0008150,GO:0008152,GO:0008219,GO:0008290,GO:0009653,GO:0009790,GO:0009792,GO:0009893,GO:0009987,GO:0010033,GO:0010562,GO:0010604,GO:0010639,GO:0012501,GO:0014069,GO:0016020,GO:0016043,GO:0016265,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019725,GO:0020027,GO:0022411,GO:0022603,GO:0022607,GO:0030029,GO:0030036,GO:0030099,GO:0030100,GO:0030154,GO:0030218,GO:0030425,GO:0030507,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0030968,GO:0031323,GO:0031325,GO:0031333,GO:0031399,GO:0031401,GO:0032069,GO:0032075,GO:0032092,GO:0032268,GO:0032270,GO:0032271,GO:0032272,GO:0032403,GO:0032501,GO:0032502,GO:0032526,GO:0032535,GO:0032879,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0033554,GO:0033674,GO:0033993,GO:0034620,GO:0034976,GO:0035264,GO:0035966,GO:0035967,GO:0040007,GO:0042221,GO:0042325,GO:0042327,GO:0042592,GO:0042608,GO:0042802,GO:0042803,GO:0042995,GO:0043005,GO:0043009,GO:0043085,GO:0043170,GO:0043197,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043242,GO:0043244,GO:0043254,GO:0043393,GO:0043549,GO:0043933,GO:0044087,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044309,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044456,GO:0044463,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0044822,GO:0045111,GO:0045202,GO:0045765,GO:0045766,GO:0045807,GO:0045859,GO:0045860,GO:0045937,GO:0046982,GO:0046983,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048856,GO:0048869,GO:0048872,GO:0048873,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051015,GO:0051016,GO:0051017,GO:0051049,GO:0051050,GO:0051094,GO:0051098,GO:0051099,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051174,GO:0051239,GO:0051246,GO:0051247,GO:0051336,GO:0051338,GO:0051345,GO:0051347,GO:0051493,GO:0051494,GO:0051693,GO:0051716,GO:0060249,GO:0060255,GO:0060627,GO:0061572,GO:0065007,GO:0065008,GO:0065009,GO:0070887,GO:0071229,GO:0071300,GO:0071310,GO:0071396,GO:0071704,GO:0071822,GO:0071840,GO:0080090,GO:0090066,GO:0097159,GO:0097458,GO:1901342,GO:1901363,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1902589,GO:2000026""",NA,NA,"0","ConEnriched"
"AIPGENE435",0.000692461834231731,0.00187994803756301,1.14050678976685,25.6511083050049,25.8058566072517,26.245305196096,26.1553768281653,25.9835698939471,25.8445172695358,26.6092403304737,24.8530262532493,25.1649361595292,25.3062283200427,NA,NA,24.5430261917578,"Swiss-Prot","sp|P13086|SUCA_RAT","""Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2""",334,346,438.73,438.73,"236/328","71.95%","98.20%",3.37e-152,"""GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003878,GO:0004774,GO:0004775,GO:0004776,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005737,GO:0005739,GO:0005743,GO:0005886,GO:0006082,GO:0006099,GO:0006104,GO:0006105,GO:0006637,GO:0006732,GO:0006790,GO:0006793,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016405,GO:0016740,GO:0016746,GO:0016874,GO:0016877,GO:0016878,GO:0017076,GO:0019001,GO:0019003,GO:0019752,GO:0019866,GO:0030062,GO:0031090,GO:0031966,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0035383,GO:0035639,GO:0036094,GO:0042709,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045239,GO:0045244,GO:0046912,GO:0046982,GO:0046983,GO:0048037,GO:0051186,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1902494""",NA,NA,"0","ConEnriched"
"AIPGENE7837",0.0201704964594446,0.0359133229643769,1.14146346802176,25.6404791073445,25.4354187356127,26.0551085964414,25.8405827430323,25.8554755250456,25.796261975642,25.8384243265971,NA,NA,24.6620818490401,NA,NA,NA,"Swiss-Prot","sp|Q7SX99|FUMH_DANRE","""Fumarate hydratase, mitochondrial OS=Danio rerio GN=fh PE=2 SV=1""",499,509,747.27,747.27,"354/491","72.10%","98.20%",0,"""GO:0003674,GO:0003824,GO:0004333,GO:0005575,GO:0005739,GO:0006082,GO:0006099,GO:0006106,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016835,GO:0016836,GO:0019752,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045239,GO:0071704""",NA,NA,"0","ConEnriched"
"AIPGENE20360",0.0186925411257458,0.0338319545994904,1.14907458616545,22.0567731995176,22.0253834488628,22.3582698147127,22.508054327477,22.2625455746707,22.0944561575651,22.0768509476734,NA,NA,21.0718521256615,NA,NA,NA,"Swiss-Prot","sp|A7MBC7|T194A_BOVIN","Transmembrane protein 194A OS=Bos taurus GN=TMEM194A PE=2 SV=1",432,445,207.99,207.99,"132/386","34.20%","87.73%",6.39e-60,"""GO:0005575,GO:0016020,GO:0016021,GO:0044425""",1.24964820953733,2.16147191674505e-05,"6","ConEnriched"
