"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6","Source","Hit.accession","Hit.description","Query.length","Hit.length","Max.bit.score","Total.bit.score","Identity","Identity..","Coverage..","Expect","GO.terms","log2FoldChange_Sym0_Apo0","padj_Sym0_Apo0","TM_Helices","Enrichment"
"AIPGENE28637",0.00928506952413832,0.0179088878062015,1.00688620971906,27.3176977751733,27.9364258594301,27.479421706475,27.450271984092,28.054059155397,27.5938709492331,28.41279562557,27.4667526485433,26.648312238646,27.8690716540581,26.9311884322495,25.7771736918623,26.1930293565237,"Swiss-Prot","sp|P27080|ADT_CHLRE","""ADP,ATP carrier protein OS=Chlamydomonas reinhardtii GN=ABT PE=1 SV=1""",306,308,390.19,390.19,"195/289","67.47%","93.46%",4.44e-134,"""GO:0000295,GO:0003674,GO:0005215,GO:0005337,GO:0005346,GO:0005347,GO:0005471,GO:0005488,GO:0005507,GO:0005575,GO:0005618,GO:0005730,GO:0005739,GO:0005743,GO:0005773,GO:0005774,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006862,GO:0008150,GO:0008509,GO:0008514,GO:0009507,GO:0009526,GO:0009536,GO:0009941,GO:0009987,GO:0015075,GO:0015211,GO:0015215,GO:0015216,GO:0015217,GO:0015291,GO:0015297,GO:0015301,GO:0015605,GO:0015711,GO:0015748,GO:0015858,GO:0015865,GO:0015866,GO:0015867,GO:0015868,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0019866,GO:0022804,GO:0022857,GO:0022891,GO:0022892,GO:0030312,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044434,GO:0044435,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046872,GO:0046914,GO:0051234,GO:0051503,GO:0055085,GO:0071702,GO:0071705,GO:0098588,GO:1901264,GO:1901505,GO:1901677""",-0.360486666634019,0.00668314506811959,"2","ConEnriched"
"AIPGENE23527",0.00120512256656666,0.00297843980330164,1.02131650333174,25.0345672200971,24.7302674601188,25.6470024823669,26.1468499715439,25.96248070461,25.1702185456257,25.6145336663128,24.7473340317876,24.8491736582015,24.2235785602386,24.5985210028472,24.3741708682474,24.3506756892654,"Swiss-Prot","sp|P72745|Y1101_SYNY3","Universal stress protein Slr1101 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr1101 PE=3 SV=1",151,108,57.38,57.38,"30/82","36.59%","54.30%",5.64e-10,"""GO:0006950,GO:0008150,GO:0050896""",0.530794856457646,0.00032060297512363,"0","ConEnriched"
"AIPGENE122",0.0195714734091447,0.0351421483865859,1.03001844027848,28.4571800074049,29.2788898047383,28.8779934965947,28.642383054173,28.472399683508,29.0452289827013,29.5162403435497,28.0831596287339,28.7833007225737,29.2834675716811,26.6338438355389,27.2610567198424,27.6081962452241,"Swiss-Prot","sp|O70244|CUBN_RAT","Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2",1968,3623,201.83,2038.63,"2675/11350","23.57%","51.78%",2.63e-50,"""GO:0000323,GO:0001701,GO:0003674,GO:0004872,GO:0005215,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005764,GO:0005765,GO:0005768,GO:0005773,GO:0005774,GO:0005775,GO:0005905,GO:0006066,GO:0006461,GO:0006629,GO:0006766,GO:0006810,GO:0006897,GO:0006898,GO:0007584,GO:0008150,GO:0008152,GO:0008202,GO:0008203,GO:0009605,GO:0009790,GO:0009792,GO:0009991,GO:0010008,GO:0012506,GO:0015031,GO:0015235,GO:0015889,GO:0016020,GO:0016023,GO:0016043,GO:0016125,GO:0016192,GO:0017038,GO:0019842,GO:0020028,GO:0022607,GO:0030135,GO:0030492,GO:0030659,GO:0030666,GO:0031090,GO:0031253,GO:0031410,GO:0031419,GO:0031526,GO:0031667,GO:0031974,GO:0031982,GO:0031988,GO:0032502,GO:0032991,GO:0036094,GO:0042221,GO:0042802,GO:0043009,GO:0043167,GO:0043169,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043933,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044699,GO:0044710,GO:0044765,GO:0044767,GO:0045184,GO:0046872,GO:0046906,GO:0048856,GO:0050896,GO:0051180,GO:0051183,GO:0051234,GO:0051259,GO:0051260,GO:0065003,GO:0070013,GO:0070206,GO:0070207,GO:0071702,GO:0071704,GO:0071705,GO:0071822,GO:0071840,GO:0097159,GO:0098588,GO:1901360,GO:1901363,GO:1901615""",1.14383853014738,2.18784399848785e-11,"0","ConEnriched"
"AIPGENE11718",0.00654901630130334,0.0130980326026067,1.0497867497902,24.0287094668496,24.5655704951539,23.7715258873543,23.7597733203067,24.7989275294766,24.7770191411612,25.0189286271413,NA,23.3185335726949,23.2221177967172,23.9703755576485,23.0843227408413,NA,"Swiss-Prot","sp|F7E235|FAXC_XENTR","Failed axon connections homolog OS=Xenopus tropicalis GN=faxc PE=3 SV=1",283,406,187.19,187.19,"92/241","38.17%","84.10%",2.43e-54,"""GO:0005575,GO:0016020,GO:0016021,GO:0044425""",NA,NA,"1","ConEnriched"
"AIPGENE29211",0.02161276872755,0.0380712728263076,1.07075248950281,26.4122981471948,26.6552468332903,27.1388722412503,26.2167240505284,26.9543335742886,27.0974756113465,26.0172653067186,NA,25.28125125464,25.9372163054953,NA,NA,NA,"Swiss-Prot","sp|P13437|THIM_RAT","""3-ketoacyl-CoA thiolase, mitochondrial OS=Rattus norvegicus GN=Acaa2 PE=2 SV=1""",398,397,528.09,528.09,"249/394","63.20%","98.99%",0,"""GO:0003674,GO:0003824,GO:0003988,GO:0005575,GO:0005739,GO:0005759,GO:0006082,GO:0006084,GO:0006629,GO:0006631,GO:0006635,GO:0006637,GO:0006732,GO:0006790,GO:0006793,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009966,GO:0009987,GO:0010639,GO:0010646,GO:0010821,GO:0010823,GO:0010941,GO:0016042,GO:0016054,GO:0016408,GO:0016740,GO:0016746,GO:0016747,GO:0019395,GO:0019752,GO:0023051,GO:0030258,GO:0031974,GO:0032386,GO:0032787,GO:0032879,GO:0033043,GO:0034440,GO:0035383,GO:0042981,GO:0043067,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046395,GO:0048519,GO:0048523,GO:0048583,GO:0050789,GO:0050794,GO:0051049,GO:0051128,GO:0051129,GO:0051186,GO:0055114,GO:0060341,GO:0065007,GO:0070013,GO:0071704,GO:0072329,GO:1901028,GO:1901029,GO:1901575,GO:2001233""",NA,NA,"0","ConEnriched"
"AIPGENE5660",0.000944935927643301,0.00241814312192183,1.10997079072349,24.7856965098334,25.4658736517463,25.3269741927916,24.7752426252171,25.5490101806136,25.3237657474709,25.3005057267704,24.0370160379512,23.9991925428057,24.997598859307,NA,23.622663522386,24.2448185211076,"Swiss-Prot","sp|Q5R8H3|BAP31_PONAB","B-cell receptor-associated protein 31 OS=Pongo abelii GN=BCAP31 PE=2 SV=3",246,246,192.97,192.97,"115/249","46.18%","99.59%",7.09e-59,"""GO:0005575,GO:0005783,GO:0005789,GO:0006810,GO:0006886,GO:0006915,GO:0008150,GO:0008219,GO:0009987,GO:0012501,GO:0015031,GO:0016020,GO:0016021,GO:0016192,GO:0016265,GO:0031090,GO:0033116,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0045184,GO:0046907,GO:0051234,GO:0051649,GO:0071702,GO:0098588,GO:0098589""",0.85765048964406,9.19327516819012e-08,"3","ConEnriched"
"AIPGENE435",0.000654105439773992,0.00178642241955082,1.14718349321544,25.6561296068062,25.8104254764627,26.2558566120631,26.1651469159215,25.9905121916315,25.8523735152491,26.6157033132263,24.8751095391039,25.1422066378053,25.3085965607178,NA,NA,24.5453653058807,"Swiss-Prot","sp|P13086|SUCA_RAT","""Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2""",334,346,438.73,438.73,"236/328","71.95%","98.20%",3.37e-152,"""GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003878,GO:0004774,GO:0004775,GO:0004776,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005737,GO:0005739,GO:0005743,GO:0005886,GO:0006082,GO:0006099,GO:0006104,GO:0006105,GO:0006637,GO:0006732,GO:0006790,GO:0006793,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016405,GO:0016740,GO:0016746,GO:0016874,GO:0016877,GO:0016878,GO:0017076,GO:0019001,GO:0019003,GO:0019752,GO:0019866,GO:0030062,GO:0031090,GO:0031966,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0035383,GO:0035639,GO:0036094,GO:0042709,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045239,GO:0045244,GO:0046912,GO:0046982,GO:0046983,GO:0048037,GO:0051186,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1902494""",NA,NA,"0","ConEnriched"
"AIPGENE7837",0.0198000411564617,0.0354546191506889,1.15012039086891,25.6471884565593,25.4401126046179,26.0659112600051,25.8504463289755,25.8631554315849,25.8050198688846,25.8443027231756,NA,NA,24.6613709786717,NA,NA,NA,"Swiss-Prot","sp|Q7SX99|FUMH_DANRE","""Fumarate hydratase, mitochondrial OS=Danio rerio GN=fh PE=2 SV=1""",499,509,747.27,747.27,"354/491","72.10%","98.20%",0,"""GO:0003674,GO:0003824,GO:0004333,GO:0005575,GO:0005739,GO:0006082,GO:0006099,GO:0006106,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016835,GO:0016836,GO:0019752,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045239,GO:0071704""",NA,NA,"0","ConEnriched"
"AIPGENE8117",0.0194404659242331,0.0350036090048519,1.16711783403832,26.8748554858197,27.1831745992916,27.2281424339445,27.2180465420019,27.511142562231,27.8126707558044,27.0970388233367,26.9764364462545,26.6223781539458,26.6847870339548,NA,24.4147375074317,NA,"Swiss-Prot","sp|P35611|ADDA_HUMAN","Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2",651,737,347.82,347.82,"191/416","45.91%","60.37%",2.23e-107,"""GO:0000902,GO:0001101,GO:0001701,GO:0001894,GO:0001932,GO:0001934,GO:0003674,GO:0003676,GO:0003723,GO:0003779,GO:0005102,GO:0005198,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005634,GO:0005737,GO:0005829,GO:0005856,GO:0005886,GO:0006884,GO:0006915,GO:0006921,GO:0006950,GO:0006984,GO:0006986,GO:0006987,GO:0006996,GO:0007010,GO:0007015,GO:0007165,GO:0008064,GO:0008092,GO:0008134,GO:0008150,GO:0008152,GO:0008219,GO:0008290,GO:0009653,GO:0009790,GO:0009792,GO:0009893,GO:0009987,GO:0010033,GO:0010562,GO:0010604,GO:0010639,GO:0012501,GO:0014069,GO:0016020,GO:0016043,GO:0016265,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019725,GO:0020027,GO:0022411,GO:0022603,GO:0022607,GO:0030029,GO:0030036,GO:0030099,GO:0030100,GO:0030154,GO:0030218,GO:0030425,GO:0030507,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0030968,GO:0031323,GO:0031325,GO:0031333,GO:0031399,GO:0031401,GO:0032069,GO:0032075,GO:0032092,GO:0032268,GO:0032270,GO:0032271,GO:0032272,GO:0032403,GO:0032501,GO:0032502,GO:0032526,GO:0032535,GO:0032879,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0033554,GO:0033674,GO:0033993,GO:0034620,GO:0034976,GO:0035264,GO:0035966,GO:0035967,GO:0040007,GO:0042221,GO:0042325,GO:0042327,GO:0042592,GO:0042608,GO:0042802,GO:0042803,GO:0042995,GO:0043005,GO:0043009,GO:0043085,GO:0043170,GO:0043197,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043242,GO:0043244,GO:0043254,GO:0043393,GO:0043549,GO:0043933,GO:0044087,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044309,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044456,GO:0044463,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0044822,GO:0045111,GO:0045202,GO:0045765,GO:0045766,GO:0045807,GO:0045859,GO:0045860,GO:0045937,GO:0046982,GO:0046983,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048856,GO:0048869,GO:0048872,GO:0048873,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051015,GO:0051016,GO:0051017,GO:0051049,GO:0051050,GO:0051094,GO:0051098,GO:0051099,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051174,GO:0051239,GO:0051246,GO:0051247,GO:0051336,GO:0051338,GO:0051345,GO:0051347,GO:0051493,GO:0051494,GO:0051693,GO:0051716,GO:0060249,GO:0060255,GO:0060627,GO:0061572,GO:0065007,GO:0065008,GO:0065009,GO:0070887,GO:0071229,GO:0071300,GO:0071310,GO:0071396,GO:0071704,GO:0071822,GO:0071840,GO:0080090,GO:0090066,GO:0097159,GO:0097458,GO:1901342,GO:1901363,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1902589,GO:2000026""",NA,NA,"0","ConEnriched"
"AIPGENE12496",0.000533210771121404,0.0015201184264426,1.16729055436653,28.9790031993599,29.5328342887132,29.5441771997514,29.488347685542,29.4017973913205,29.6605147594046,29.7482195345272,28.9049701756066,28.5771349350335,29.2359665164679,27.9766314457678,27.8763852070705,27.8010592531134,"Swiss-Prot","sp|Q90593|GRP78_CHICK","78 kDa glucose-regulated protein OS=Gallus gallus GN=HSPA5 PE=1 SV=1",677,652,1057.74,1057.74,"522/648","80.56%","95.57%",0,"""GO:0000166,GO:0001882,GO:0001883,GO:0001932,GO:0001934,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005634,GO:0005783,GO:0005788,GO:0005793,GO:0006508,GO:0006950,GO:0006983,GO:0006984,GO:0006987,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008180,GO:0009267,GO:0009605,GO:0009607,GO:0009893,GO:0009966,GO:0009968,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010562,GO:0010604,GO:0010646,GO:0010648,GO:0010941,GO:0016021,GO:0017015,GO:0017076,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019904,GO:0021589,GO:0021680,GO:0023051,GO:0023057,GO:0030176,GO:0030496,GO:0030512,GO:0030554,GO:0031301,GO:0031323,GO:0031325,GO:0031396,GO:0031398,GO:0031399,GO:0031401,GO:0031625,GO:0031667,GO:0031668,GO:0031669,GO:0031974,GO:0032069,GO:0032075,GO:0032268,GO:0032270,GO:0032502,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033554,GO:0033674,GO:0034097,GO:0034663,GO:0034976,GO:0035639,GO:0036094,GO:0042149,GO:0042221,GO:0042325,GO:0042327,GO:0042594,GO:0042981,GO:0043021,GO:0043022,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043549,GO:0044093,GO:0044238,GO:0044389,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0044767,GO:0045859,GO:0045860,GO:0045937,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048532,GO:0048583,GO:0048585,GO:0048856,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051174,GO:0051246,GO:0051247,GO:0051336,GO:0051338,GO:0051345,GO:0051347,GO:0051603,GO:0051716,GO:0051787,GO:0060255,GO:0060548,GO:0065007,GO:0065009,GO:0070013,GO:0070670,GO:0070887,GO:0071216,GO:0071310,GO:0071345,GO:0071353,GO:0071496,GO:0071704,GO:0080090,GO:0090092,GO:0090101,GO:0090287,GO:0090288,GO:0097159,GO:0097367,GO:1901265,GO:1901363""",1.37545734315225,1.71861854801065e-12,"0","ConEnriched"
