"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6","Source","Hit.accession","Hit.description","Query.length","Hit.length","Max.bit.score","Total.bit.score","Identity","Identity..","Coverage..","Expect","GO.terms","log2FoldChange_Sym0_Apo0","padj_Sym0_Apo0","TM_Helices","Enrichment"
"AIPGENE10493",0.00461145214538279,0.00966772819193186,1.02421705657967,27.3899745177358,27.5564395103875,27.6522166585559,27.7643570644098,27.8560813078129,28.3471136929922,28.2362900419954,26.8484091270746,26.4853598949441,27.0108454931482,27.8511634940017,27.2721483390557,25.7992695884514,"Swiss-Prot","sp|P11833|TBB_PARLI","Tubulin beta chain OS=Paracentrotus lividus PE=2 SV=1",448,447,907.52,907.52,"432/447","96.64%","99.78%",0,"""GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005198,GO:0005200,GO:0005488,GO:0005525,GO:0005575,GO:0005737,GO:0005856,GO:0005874,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006461,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007017,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0022607,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0034622,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0043623,GO:0043933,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051258,GO:0055086,GO:0065003,GO:0071704,GO:0071822,GO:0071840,GO:0072521,GO:0072523,GO:0097159,GO:0097367,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658""",-1.11088377422834,7.35506439283901e-19,"0","ConEnriched"
"AIPGENE13749",0.025882396554233,0.0427976635936137,1.03917129643623,26.0853636718908,26.6968245449401,26.6867450039628,26.8582651857602,26.9539803679403,26.5727765155001,25.8611043025502,25.9159257354719,26.5399001663621,26.6155534898586,25.5062675293156,23.7222762860794,25.0947449349487,"Swiss-Prot","sp|Q569D5|SBP1_XENTR","Selenium-binding protein 1 OS=Xenopus tropicalis GN=selenbp1 PE=2 SV=1",481,472,681.79,681.79,"321/471","68.15%","97.71%",0,"""GO:0003674,GO:0005488,GO:0005575,GO:0005634,GO:0005737,GO:0005829,GO:0006810,GO:0008150,GO:0008430,GO:0015031,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045184,GO:0051234,GO:0071702""",0.414037289837796,0.00315979281930586,"0","ConEnriched"
"AIPGENE11614",0.0135864149043264,0.0244555468277876,1.0540679243899,22.0963239863921,22.5563903863189,22.2860648207678,23.1788576368907,22.5232794587092,21.9134049875051,NA,21.8782189494665,NA,NA,NA,21.5445134949913,20.8898621564875,"Swiss-Prot","sp|O08734|BAK_MOUSE","Bcl-2 homologous antagonist/killer OS=Mus musculus GN=Bak1 PE=1 SV=2",221,208,136.73,136.73,"70/191","36.65%","86.43%",6.25e-38,"""GO:0001776,GO:0001782,GO:0001783,GO:0001836,GO:0001932,GO:0001933,GO:0001974,GO:0002260,GO:0002262,GO:0002339,GO:0002352,GO:0002376,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005739,GO:0005783,GO:0005829,GO:0006810,GO:0006811,GO:0006873,GO:0006874,GO:0006875,GO:0006915,GO:0006919,GO:0006950,GO:0006974,GO:0006996,GO:0007005,GO:0007006,GO:0007165,GO:0007166,GO:0008053,GO:0008150,GO:0008152,GO:0008219,GO:0008283,GO:0008630,GO:0008635,GO:0008637,GO:0009314,GO:0009411,GO:0009416,GO:0009605,GO:0009607,GO:0009620,GO:0009628,GO:0009636,GO:0009653,GO:0009886,GO:0009887,GO:0009892,GO:0009987,GO:0010046,GO:0010212,GO:0010248,GO:0010332,GO:0010468,GO:0010522,GO:0010524,GO:0010563,GO:0010605,GO:0010623,GO:0010941,GO:0010942,GO:0010950,GO:0010952,GO:0010959,GO:0012501,GO:0016020,GO:0016021,GO:0016043,GO:0016265,GO:0016485,GO:0019220,GO:0019222,GO:0019538,GO:0019725,GO:0022414,GO:0030003,GO:0030162,GO:0030540,GO:0031090,GO:0031301,GO:0031307,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0031638,GO:0031966,GO:0032268,GO:0032269,GO:0032386,GO:0032388,GO:0032469,GO:0032471,GO:0032501,GO:0032502,GO:0032592,GO:0032844,GO:0032846,GO:0032879,GO:0032991,GO:0033135,GO:0033137,GO:0033554,GO:0034220,GO:0034644,GO:0034976,GO:0035107,GO:0035108,GO:0035556,GO:0038034,GO:0042221,GO:0042325,GO:0042326,GO:0042391,GO:0042592,GO:0042802,GO:0042803,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043269,GO:0043270,GO:0043280,GO:0043281,GO:0044093,GO:0044238,GO:0044346,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044699,GO:0044702,GO:0044707,GO:0044763,GO:0044765,GO:0044767,GO:0044801,GO:0044802,GO:0045936,GO:0046872,GO:0046902,GO:0046930,GO:0046982,GO:0046983,GO:0048050,GO:0048284,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048592,GO:0048597,GO:0048608,GO:0048771,GO:0048806,GO:0048856,GO:0048869,GO:0048872,GO:0048878,GO:0050789,GO:0050790,GO:0050794,GO:0050801,GO:0050896,GO:0051049,GO:0051050,GO:0051174,GO:0051234,GO:0051246,GO:0051248,GO:0051336,GO:0051345,GO:0051604,GO:0051704,GO:0051707,GO:0051716,GO:0051726,GO:0051881,GO:0051924,GO:0051928,GO:0052547,GO:0052548,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060068,GO:0060255,GO:0060341,GO:0060561,GO:0061024,GO:0061025,GO:0065007,GO:0065008,GO:0065009,GO:0070059,GO:0070227,GO:0070231,GO:0070242,GO:0070613,GO:0071214,GO:0071478,GO:0071482,GO:0071704,GO:0071840,GO:0071887,GO:0072503,GO:0072507,GO:0080090,GO:0090559,GO:0097190,GO:0097191,GO:0097192,GO:0097193,GO:0097202,GO:0097285,GO:1902262,GO:1902589,GO:1902742,GO:2000021,GO:2000116,GO:2001056""",NA,NA,"2","ConEnriched"
"AIPGENE15816",0.00225018590515468,0.00515497134635435,1.06225879470248,26.0709521313272,26.9279146922202,26.3179376949085,26.5417238872313,26.0050492200155,26.2922056036721,26.8903027972014,25.8028415612017,NA,25.5815094661496,25.5034846508859,24.8465517397856,NA,"Swiss-Prot","sp|P40429|RL13A_HUMAN","60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2",204,203,281.95,281.95,"132/202","65.35%","99.02%",9.07e-95,"""GO:0000184,GO:0000956,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005634,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006414,GO:0006415,GO:0006417,GO:0006446,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0015031,GO:0015934,GO:0016020,GO:0016032,GO:0016043,GO:0016070,GO:0016071,GO:0016482,GO:0017148,GO:0018130,GO:0019058,GO:0019083,GO:0019222,GO:0019438,GO:0019439,GO:0019538,GO:0022411,GO:0022625,GO:0030529,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032774,GO:0032984,GO:0032991,GO:0034097,GO:0034341,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043241,GO:0043624,GO:0043933,GO:0044087,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0044764,GO:0044765,GO:0044822,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051129,GO:0051234,GO:0051246,GO:0051248,GO:0051649,GO:0051704,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0071310,GO:0071345,GO:0071346,GO:0071702,GO:0071704,GO:0071822,GO:0071840,GO:0072594,GO:0072599,GO:0080090,GO:0090150,GO:0090304,GO:0097159,GO:0097452,GO:1901193,GO:1901194,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901575,GO:1901576,GO:1902582,GO:2000112,GO:2000113""",NA,NA,"0","ConEnriched"
"AIPGENE122",0.017339098446989,0.0308577175751498,1.07225243519593,28.7021679115143,29.6318624023563,29.1564515110868,28.9030105802295,28.6944816099956,29.2886709108694,29.7552877601359,27.8782831373442,29.0350671806157,29.621770316293,26.8635794530035,27.5878230596775,28.009727016564,"Swiss-Prot","sp|O70244|CUBN_RAT","Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2",1968,3623,201.83,2038.63,"2675/11350","23.57%","51.78%",2.63e-50,"""GO:0000323,GO:0001701,GO:0003674,GO:0004872,GO:0005215,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005764,GO:0005765,GO:0005768,GO:0005773,GO:0005774,GO:0005775,GO:0005905,GO:0006066,GO:0006461,GO:0006629,GO:0006766,GO:0006810,GO:0006897,GO:0006898,GO:0007584,GO:0008150,GO:0008152,GO:0008202,GO:0008203,GO:0009605,GO:0009790,GO:0009792,GO:0009991,GO:0010008,GO:0012506,GO:0015031,GO:0015235,GO:0015889,GO:0016020,GO:0016023,GO:0016043,GO:0016125,GO:0016192,GO:0017038,GO:0019842,GO:0020028,GO:0022607,GO:0030135,GO:0030492,GO:0030659,GO:0030666,GO:0031090,GO:0031253,GO:0031410,GO:0031419,GO:0031526,GO:0031667,GO:0031974,GO:0031982,GO:0031988,GO:0032502,GO:0032991,GO:0036094,GO:0042221,GO:0042802,GO:0043009,GO:0043167,GO:0043169,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043933,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044699,GO:0044710,GO:0044765,GO:0044767,GO:0045184,GO:0046872,GO:0046906,GO:0048856,GO:0050896,GO:0051180,GO:0051183,GO:0051234,GO:0051259,GO:0051260,GO:0065003,GO:0070013,GO:0070206,GO:0070207,GO:0071702,GO:0071704,GO:0071705,GO:0071822,GO:0071840,GO:0097159,GO:0098588,GO:1901360,GO:1901363,GO:1901615""",1.14383853014738,2.18784399848785e-11,"0","ConEnriched"
"AIPGENE7837",0.0253290884551705,0.0419929624388353,1.08508414535966,25.7069651395747,25.5028986161407,26.1242566404032,25.8872557745063,25.9212687299115,25.8505452789792,25.8856379221012,NA,NA,24.7768930149807,NA,NA,NA,"Swiss-Prot","sp|Q7SX99|FUMH_DANRE","""Fumarate hydratase, mitochondrial OS=Danio rerio GN=fh PE=2 SV=1""",499,509,747.27,747.27,"354/491","72.10%","98.20%",0,"""GO:0003674,GO:0003824,GO:0004333,GO:0005575,GO:0005739,GO:0006082,GO:0006099,GO:0006106,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016835,GO:0016836,GO:0019752,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045239,GO:0071704""",NA,NA,"0","ConEnriched"
"AIPGENE8117",0.0300701764621151,0.0485749004388013,1.09455280861313,27.0334820523899,27.2846459028653,27.2448116320911,27.2702893901861,27.5894699783429,27.8843733361525,27.1164076919277,NA,27.1224625739016,26.8918083442533,NA,24.8970696217885,NA,"Swiss-Prot","sp|P35611|ADDA_HUMAN","Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2",651,737,347.82,347.82,"191/416","45.91%","60.37%",2.23e-107,"""GO:0000902,GO:0001101,GO:0001701,GO:0001894,GO:0001932,GO:0001934,GO:0003674,GO:0003676,GO:0003723,GO:0003779,GO:0005102,GO:0005198,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005634,GO:0005737,GO:0005829,GO:0005856,GO:0005886,GO:0006884,GO:0006915,GO:0006921,GO:0006950,GO:0006984,GO:0006986,GO:0006987,GO:0006996,GO:0007010,GO:0007015,GO:0007165,GO:0008064,GO:0008092,GO:0008134,GO:0008150,GO:0008152,GO:0008219,GO:0008290,GO:0009653,GO:0009790,GO:0009792,GO:0009893,GO:0009987,GO:0010033,GO:0010562,GO:0010604,GO:0010639,GO:0012501,GO:0014069,GO:0016020,GO:0016043,GO:0016265,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019725,GO:0020027,GO:0022411,GO:0022603,GO:0022607,GO:0030029,GO:0030036,GO:0030099,GO:0030100,GO:0030154,GO:0030218,GO:0030425,GO:0030507,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0030968,GO:0031323,GO:0031325,GO:0031333,GO:0031399,GO:0031401,GO:0032069,GO:0032075,GO:0032092,GO:0032268,GO:0032270,GO:0032271,GO:0032272,GO:0032403,GO:0032501,GO:0032502,GO:0032526,GO:0032535,GO:0032879,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0033554,GO:0033674,GO:0033993,GO:0034620,GO:0034976,GO:0035264,GO:0035966,GO:0035967,GO:0040007,GO:0042221,GO:0042325,GO:0042327,GO:0042592,GO:0042608,GO:0042802,GO:0042803,GO:0042995,GO:0043005,GO:0043009,GO:0043085,GO:0043170,GO:0043197,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043242,GO:0043244,GO:0043254,GO:0043393,GO:0043549,GO:0043933,GO:0044087,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044309,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044456,GO:0044463,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0044822,GO:0045111,GO:0045202,GO:0045765,GO:0045766,GO:0045807,GO:0045859,GO:0045860,GO:0045937,GO:0046982,GO:0046983,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048856,GO:0048869,GO:0048872,GO:0048873,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051015,GO:0051016,GO:0051017,GO:0051049,GO:0051050,GO:0051094,GO:0051098,GO:0051099,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051174,GO:0051239,GO:0051246,GO:0051247,GO:0051336,GO:0051338,GO:0051345,GO:0051347,GO:0051493,GO:0051494,GO:0051693,GO:0051716,GO:0060249,GO:0060255,GO:0060627,GO:0061572,GO:0065007,GO:0065008,GO:0065009,GO:0070887,GO:0071229,GO:0071300,GO:0071310,GO:0071396,GO:0071704,GO:0071822,GO:0071840,GO:0080090,GO:0090066,GO:0097159,GO:0097458,GO:1901342,GO:1901363,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1902589,GO:2000026""",NA,NA,"0","ConEnriched"
"AIPGENE5814",0.000119296826064721,0.000406254056328509,1.09992249326894,29.2813059723642,29.7871260373843,29.8375966661631,29.7220538270129,29.9036398810183,29.9073440040226,29.8298428983909,28.5431444273981,28.923597245918,28.9097819731253,29.1582392928485,28.8067409865043,28.0465644285843,"Swiss-Prot","sp|Q71U34|HSP7C_SAGOE","Heat shock cognate 71 kDa protein OS=Saguinus oedipus GN=HSPA8 PE=2 SV=1",650,646,1040.41,1040.41,"489/612","79.90%","94.15%",0,"""GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005737,GO:0005886,GO:0016020,GO:0016023,GO:0017076,GO:0030554,GO:0031410,GO:0031982,GO:0031988,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042470,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0048770,GO:0097159,GO:0097367,GO:1901265,GO:1901363""",0.249719713605143,0.0400124435004384,"0","ConEnriched"
"AIPGENE1790",0.00537089694089378,0.0110217103347332,1.150367584983,26.8166162312762,27.2511337555867,26.8322006293487,27.4067194153259,27.3736310501802,27.7652680568996,27.0316266842751,25.978098226037,25.7474745911446,27.2738494169739,NA,25.50616048699,NA,"Swiss-Prot","sp|Q5RBM1|RPN2_PONAB","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Pongo abelii GN=RPN2 PE=2 SV=1",424,631,199.52,199.52,"135/413","32.69%","96.46%",1.63e-55,"""GO:0003674,GO:0003824,GO:0005575,GO:0005783,GO:0005789,GO:0005975,GO:0006464,GO:0006486,GO:0006487,GO:0008150,GO:0008152,GO:0008250,GO:0009987,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0019538,GO:0031090,GO:0032991,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044723,GO:0044763,GO:0070085,GO:0071704,GO:0098588,GO:0098589,GO:1902494,GO:1990234""",-0.56645957834225,3.69687909150372e-06,"1","ConEnriched"
"AIPGENE9017",0.00837263394275002,0.0162801215553473,1.150727500538,23.9559032420313,24.9188882796726,24.4052179207313,24.3299210949643,23.7376019165244,24.0426146479645,24.0272668431376,23.0254921906915,NA,23.1602230425641,NA,NA,NA,"Swiss-Prot","sp|Q90577|SRCA_CHICK","Sarcalumenin OS=Gallus gallus GN=SRL PE=2 SV=1",449,471,53.14,53.14,"52/185","28.11%","35.41%",2.79e-06,"""GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005783,GO:0005788,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016462,GO:0016529,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0031974,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0033018,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0070013,GO:0071704,GO:0072521,GO:0072523,GO:0097159,GO:0097367,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658""",0.802721111629577,9.65233056574675e-06,"2","ConEnriched"
