Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Control_6 Spectral Count	Symbiosome_1 Spectral Count	Symbiosome_2 Spectral Count	Symbiosome_3 Spectral Count	Symbiosome_4 Spectral Count	Symbiosome_5 Spectral Count	Symbiosome_6 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Control_6 Unique Spectral Count	Symbiosome_1 Unique Spectral Count	Symbiosome_2 Unique Spectral Count	Symbiosome_3 Unique Spectral Count	Symbiosome_4 Unique Spectral Count	Symbiosome_5 Unique Spectral Count	Symbiosome_6 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Control_6 Total Spectral Count	Symbiosome_1 Total Spectral Count	Symbiosome_2 Total Spectral Count	Symbiosome_3 Total Spectral Count	Symbiosome_4 Total Spectral Count	Symbiosome_5 Total Spectral Count	Symbiosome_6 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Control_6 Intensity	Symbiosome_1 Intensity	Symbiosome_2 Intensity	Symbiosome_3 Intensity	Symbiosome_4 Intensity	Symbiosome_5 Intensity	Symbiosome_6 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Control_6 MaxLFQ Intensity	Symbiosome_1 MaxLFQ Intensity	Symbiosome_2 MaxLFQ Intensity	Symbiosome_3 MaxLFQ Intensity	Symbiosome_4 MaxLFQ Intensity	Symbiosome_5 MaxLFQ Intensity	Symbiosome_6 MaxLFQ Intensity	Indistinguishable Proteins
AIPGENE10	AIPGENE10	AIPGENE10		172			AIPGENE10	1.0	0.9963	2	8	8	8	2	0	1	2	1	2	0	0	0	0	0	0	2	0	1	2	1	2	0	0	0	0	0	0	2	0	1	2	1	2	0	0	0	0	0	0	4924955.0	0.0	6027001.0	1.0029118E7	3348437.2	2030793.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10000	AIPGENE10000	AIPGENE10000		426			AIPGENE10000	1.0	0.998	5	21	21	21	5	1	5	4	6	0	0	0	0	0	0	0	5	1	5	4	6	0	0	0	0	0	0	0	5	1	5	4	6	0	0	0	0	0	0	0	8180765.0	7056132.0	1.9120308E7	1.9005722E7	2.8178472E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5194920.5	0.0	1.3001577E7	1.3137394E7	1.4735443E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10018	AIPGENE10018	AIPGENE10018		370			AIPGENE10018	0.9999	0.9987	2	16	0	16	1	2	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	4	3	2	0	0	0	0	0	0	2.0731058E7	2.9605972E7	2.679026E7	2.1149838E7	3.1996622E7	2.1554848E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE10019
AIPGENE10063	AIPGENE10063	AIPGENE10063		968			AIPGENE10063	0.7508	0.9933	1	3	0	3	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0.0	0.0	7107307.0	0.0	0.0	0.0	0.0	0.0	1.795327E7	0.0	1.164379E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE3271
AIPGENE10117	AIPGENE10117	AIPGENE10117		369			AIPGENE10117	1.0	0.9989	5	34	34	34	11	3	7	3	8	2	0	0	0	0	0	0	11	3	7	3	8	2	0	0	0	0	0	0	11	3	7	3	8	2	0	0	0	0	0	0	3.0935002E7	2.2364972E7	3.930992E7	2.2979748E7	4.924328E7	1.5648408E7	0.0	0.0	0.0	0.0	0.0	0.0	1.4728178E7	1.1955273E7	1.6684305E7	9599101.0	1.535881E7	1.1552165E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10129	AIPGENE10129	AIPGENE10129		239			AIPGENE10129	1.0	0.999	6	25	25	25	5	2	2	7	7	2	0	0	0	0	0	0	5	2	2	7	7	2	0	0	0	0	0	0	5	2	2	7	7	2	0	0	0	0	0	0	8946362.0	1.0559477E7	1.2157282E7	3.009148E7	3.7666044E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5253478.5	0.0	7585360.5	1.0585131E7	1.1356977E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10134	AIPGENE10134	AIPGENE10134		297			AIPGENE10134	0.8855	0.9974	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10143	AIPGENE10143	AIPGENE10143		618			AIPGENE10143	1.0	0.9989	12	109	109	109	18	7	16	14	13	5	4	8	6	6	5	7	18	7	16	14	13	5	4	8	6	6	5	7	18	7	16	14	13	5	4	8	6	6	5	7	2.4765962E8	1.741489E8	2.1625808E8	2.0854506E8	1.4520011E8	1.5938176E8	4.059133E7	5.3817656E7	8.4728056E7	2.2838866E7	4.1715852E7	5.414296E7	8.4771736E7	7.012029E7	7.954472E7	7.888496E7	5.557123E7	6.1776244E7	2.3538792E7	4.843817E7	7.049188E7	1.5345786E7	2.709966E7	2.914284E7	
AIPGENE10178	AIPGENE10178	AIPGENE10178		646			AIPGENE10178	0.8292	0.9959	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10179	AIPGENE10179	AIPGENE10179		483			AIPGENE10179	0.9999	0.9957	2	4	4	4	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0.0	0.0	0.0	6587908.0	9184153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10188	AIPGENE10188	AIPGENE10188		393			AIPGENE10188	1.0	0.9987	5	20	20	20	4	1	3	5	6	1	0	0	0	0	0	0	4	1	3	5	6	1	0	0	0	0	0	0	4	1	3	5	6	1	0	0	0	0	0	0	8195466.0	4369146.5	3865130.8	1.2499188E7	1.3626376E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4565054.0	0.0	0.0	4485446.5	7669003.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10210	AIPGENE10210	AIPGENE10210		121			AIPGENE10210	0.8871	0.9974	1	8	8	8	0	1	2	1	2	2	0	0	0	0	0	0	0	1	2	1	2	2	0	0	0	0	0	0	0	1	2	1	2	2	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10274	AIPGENE10274	AIPGENE10274		148			AIPGENE10274	1.0	0.9989	4	22	16	22	5	2	1	5	8	1	0	0	0	0	0	0	4	2	1	4	4	1	0	0	0	0	0	0	5	2	1	5	8	1	0	0	0	0	0	0	2.0370776E7	1.7483646E7	2.2561192E7	2.1867836E7	2.5571174E7	1.0772609E7	0.0	0.0	0.0	0.0	0.0	0.0	1.3097909E7	1.0619368E7	1.5319677E7	1.3324272E7	4.45395E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
